"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Methods","TestKIR","Enabled","JS","InstrumentPropertyAccessors","Dedicated","Native","Common","JVM","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4968.3093","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232065.68","227834","20403.16825681537","218828","359017","226410.21029622297","237721.14970377702","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25752.4949","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201827.04","198537.5","11942.447829554569","188396","235181","198516.76234905614","205137.31765094388","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3966.2718","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4968.3093","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231509.1","229295","8751.832562033942","221133","257314","229083.21578025003","233934.98421974998","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25752.4949","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201547.08","197419.5","11452.13698058318","187090","231477","198372.70958252533","204721.45041747464","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5256.0274","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","9796.1398","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"262444.28","248172.5","37051.15013832987","221172","339957","252174.22515067903","272714.334849321","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28818.9944","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214604.36","201522.5","26441.711812627433","192472","286785","207275.09141827538","221933.6285817246","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5256.0274","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","9796.1398","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230890.18","229467","8359.50687367505","221235","273296","228573.04291288153","233207.31708711846","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28818.9944","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"211658.3","203811.5","20515.218142607588","192477","293229","205971.77165246563","217344.82834753435","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3797.8254","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4339.025","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242736.46","237287","18803.06623302895","220557","284809","237524.51594893396","247948.40405106603","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","30007.3685","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215049.22","205408.5","22101.96551448928","191992","278822","208922.86772040415","221175.57227959586","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3797.8254","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4339.025","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236481.72","230947.5","18646.002775711386","222344","332572","231313.31171814635","241650.12828185366","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","30007.3685","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
