"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","InstrumentPropertyAccessors","JS","Methods","JVM","CILabel","Common","Enabled","Reference","TestKIR","Native","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4937.6075","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223961.26","220657.5","6724.31499526236","216926","246071","222097.37497706214","225825.14502293788","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25664.5946","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189389.58","188914","4450.845258361331","183035","205960","188155.86863723386","190623.29136276612","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3968.8402","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4937.6075","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227553.78","224749","9498.618205178851","219535","267099","224920.89736084468","230186.6626391553","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25664.5946","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191380.76","189561.5","8033.737175340562","184007","226178","189153.92166629812","193607.5983337019","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3530.1347","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5088.7449","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224477.1","223051.5","4949.983080779166","218312","241410","223105.03469155438","225849.16530844563","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28011.8964","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188346.86","188209","3338.918907340506","182673","195228","187421.3588971247","189272.36110287526","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3530.1347","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5088.7449","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223007.54","220972","5752.748777616433","216306","244493","221412.95939292284","224602.12060707717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28011.8964","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191221.66","189274.5","8140.877415004015","183151","231298","188965.12390701656","193478.19609298345","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4058.067","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5905.5536","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234551.74","230562","24522.637615576714","223024","401130","227754.4116465826","241349.0683534174","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22881.3784","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193075.78","189502.5","10516.754188669524","180570","222415","190160.68446447095","195990.87553552905","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4058.067","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5905.5536","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224481.5","221758","6658.468415698699","216385","248588","222635.86671772966","226327.13328227034","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22881.3784","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
