"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","TestKIR","FlushEarly","CILabel","Native","JVM","Enabled","InstrumentPropertyAccessors","Methods","JS","Common","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5337.0996","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"268386","268142","18524.359283309717","235347","306390","263251.3095739852","273520.6904260148","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27121.0392","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212767.78","212590","3431.0174506304415","205126","225586","211816.75048336163","213718.80951663837","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2659.3091","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5337.0996","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258015.02","256124","15079.968397750137","233851","296101","253835.06601766183","262194.97398233815","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27121.0392","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215138.02","214177.5","6906.443343187075","199147","232944","213223.65157463547","217052.3884253645","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2341.3325","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3607.9872","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"287004.14","287968.5","17476.814789431213","250155","326081","282159.8140935499","291848.4659064501","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20091.8848","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244979.26","244073","14717.48192167036","207784","273145","240899.78214262903","249058.737857371","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2341.3325","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3607.9872","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"261845.74","253251","27255.852476052303","228366","324129","254290.803139768","269400.67686023196","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20091.8848","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206969.04","209069.5","16486.816495662002","175740","247988","202399.12762024975","211538.95237975026","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2929.3469","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4567.3035","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227369.34","226100.5","5574.007006322347","220712","246903","225824.30408419966","228914.37591580034","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18973.9628","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183022.98","182200","5927.269032468941","175504","217057","181380.0248463039","184665.93515369613","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2929.3469","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4567.3035","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"471257.58","289184","904189.8754404995","236078","6423275","220628.93337755481","721886.2266224453","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18973.9628","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
