"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JS","TestKIR","FlushEarly","Native","InstrumentPropertyAccessors","Dedicated","Reference","Common","CILabel","Enabled","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2672.6955","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114079.06","114332","2451.2286499398037","109632","120816","113399.61408296041","114758.50591703958","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14499.3655","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109485.8","109190.5","3541.245122892252","100617","118188","108504.21693142557","110467.38306857443","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1442.0826","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2672.6955","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113277.06","113243.5","2529.8493414043614","108923","121685","112575.82153912255","113978.29846087744","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14499.3655","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109750.3","109203","3938.2713821665266","103996","121838","108658.66686701072","110841.93313298929","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1378.1065","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2363.9744","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114032.96","114056.5","1987.3483406133853","109602","119206","113482.09514461481","114583.8248553852","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11954.0289","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110247.48","109910.5","2992.865709091048","103368","116296","109417.89994987304","111077.06005012695","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1378.1065","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2363.9744","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113259.5","112752.5","2428.2948518981593","109656","123891","112586.41100745295","113932.58899254705","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11954.0289","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110347.6","110144","3377.2870769302394","103059","117842","109411.46378310847","111283.73621689154","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1314.5521","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2209.0975","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113399.72","113304.5","2500.534588067609","108748","122943","112706.60717418487","114092.83282581513","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11338.8219","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111353.78","111392","3449.9841306349003","104636","119178","110397.4931878869","112310.0668121131","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1314.5521","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2209.0975","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114764.22","113948.5","3292.5583334519183","109935","124940","113851.56939258584","115676.87060741417","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11338.8219","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
