mean,median,stddev,min,max,ci95_lower,ci95_upper,executable,buildTimeMs,RepetitionCount,CleanBuild,StepCount,CILabel,Reference,Common,Dedicated,JVM,JS,Native,Enabled,FlushEarly,InstrumentPropertyAccessors,TestKIR,Methods,CollectionTimestamp,GitCommitHash,GitBranch,DeviceManufacturer,DeviceModel,IsVirtualMachine,OS,OSArchitecture,WindowsBuildNumber,TimeZone,Username,BIOSVersion,BIOSManufacturer,SecureBootEnabled,HyperVEnabled,CPU,CPUCores,CPULogicalProcessors,CPUMaxClockSpeedMHz,TotalRAMGB,AvailableRAMGB,RAMModuleCount,RAMManufacturer,RAMPartNumber,RAMModuleCapacitiesGB,DiskModel,DiskSizeGB,DiskMediaType,DiskInterfaceType,SystemDriveFreeSpaceGB,PowerPlan,SystemUptimeHours,RunningProcessCount,WindowsDefenderEnabled,WindowsDefenderRealTimeProtection,PythonVersion,JavaVersion,JavaDistribution,NodeVersion,GradleVersion,KotlinVersion
81946.33333333333,80590.0,4844.071668889028,77925.0,87324.0,69920.41118070358,93972.25548596308,commonmain-plain-jar,11078.000000000087,3,False,20,ci-windows-small,True,True,False,True,True,True,[True],[False],[False],[False],['.*'],2026-07-03 12:15:39,40fc6d5591384d4ab734e7359b9689be03bb365d,BSC_IOA,Microsoft Corporation,Virtual Machine,True,Microsoft Windows Server 2025 Datacenter 10.0.26100,64-bit,26100,UTC,runneradmin,Hyper-V UEFI Release v4.1,Microsoft Corporation,False,False,AMD EPYC 7763 64-Core Processor,2,4,2445,15.99,13.21,2,Microsoft Corporation,None,1.0 + 15.0,Microsoft Virtual Disk,150.0,Fixed hard disk media,SCSI,33.88,High performance,Not available,139,True,False,3.12.10,21.0.11,OpenJDK,v22.23.1,Gradle 9.0.0,Kotlin:        2.2.0
313958.6666666667,295916.0,41902.35990172073,284100.0,361860.0,209931.6099602288,417985.7233731046,commonmain-plain-node,11375.0,3,False,20,ci-windows-small,True,True,False,True,True,True,[True],[False],[False],[False],['.*'],2026-07-03 12:15:39,40fc6d5591384d4ab734e7359b9689be03bb365d,BSC_IOA,Microsoft Corporation,Virtual Machine,True,Microsoft Windows Server 2025 Datacenter 10.0.26100,64-bit,26100,UTC,runneradmin,Hyper-V UEFI Release v4.1,Microsoft Corporation,False,False,AMD EPYC 7763 64-Core Processor,2,4,2445,15.99,13.21,2,Microsoft Corporation,None,1.0 + 15.0,Microsoft Virtual Disk,150.0,Fixed hard disk media,SCSI,33.88,High performance,Not available,139,True,False,3.12.10,21.0.11,OpenJDK,v22.23.1,Gradle 9.0.0,Kotlin:        2.2.0
15340.333333333334,14939.0,3033.9738517880032,12527.0,18555.0,7808.171167143749,22872.49549952292,commonmain-plain-win-exe,181750.0,3,False,20,ci-windows-small,True,True,False,True,True,True,[True],[False],[False],[False],['.*'],2026-07-03 12:15:39,40fc6d5591384d4ab734e7359b9689be03bb365d,BSC_IOA,Microsoft Corporation,Virtual Machine,True,Microsoft Windows Server 2025 Datacenter 10.0.26100,64-bit,26100,UTC,runneradmin,Hyper-V UEFI Release v4.1,Microsoft Corporation,False,False,AMD EPYC 7763 64-Core Processor,2,4,2445,15.99,13.21,2,Microsoft Corporation,None,1.0 + 15.0,Microsoft Virtual Disk,150.0,Fixed hard disk media,SCSI,33.88,High performance,Not available,139,True,False,3.12.10,21.0.11,OpenJDK,v22.23.1,Gradle 9.0.0,Kotlin:        2.2.0
152765.66666666666,156660.0,9160.90499532297,142301.0,159336.0,130022.74751686436,175508.58581646896,commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar,7375.0,3,False,20,ci-windows-small,True,True,False,True,True,True,[True],[False],[False],[False],['.*'],2026-07-03 12:15:39,40fc6d5591384d4ab734e7359b9689be03bb365d,BSC_IOA,Microsoft Corporation,Virtual Machine,True,Microsoft Windows Server 2025 Datacenter 10.0.26100,64-bit,26100,UTC,runneradmin,Hyper-V UEFI Release v4.1,Microsoft Corporation,False,False,AMD EPYC 7763 64-Core Processor,2,4,2445,15.99,13.21,2,Microsoft Corporation,None,1.0 + 15.0,Microsoft Virtual Disk,150.0,Fixed hard disk media,SCSI,33.88,High performance,Not available,139,True,False,3.12.10,21.0.11,OpenJDK,v22.23.1,Gradle 9.0.0,Kotlin:        2.2.0
4371301.0,4039949.0,630736.7992823948,3975298.0,5098656.0,2805429.9383299774,5937172.061670022,commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node,6156.000000000063,3,False,20,ci-windows-small,True,True,False,True,True,True,[True],[False],[False],[False],['.*'],2026-07-03 12:15:39,40fc6d5591384d4ab734e7359b9689be03bb365d,BSC_IOA,Microsoft Corporation,Virtual Machine,True,Microsoft Windows Server 2025 Datacenter 10.0.26100,64-bit,26100,UTC,runneradmin,Hyper-V UEFI Release v4.1,Microsoft Corporation,False,False,AMD EPYC 7763 64-Core Processor,2,4,2445,15.99,13.21,2,Microsoft Corporation,None,1.0 + 15.0,Microsoft Virtual Disk,150.0,Fixed hard disk media,SCSI,33.88,High performance,Not available,139,True,False,3.12.10,21.0.11,OpenJDK,v22.23.1,Gradle 9.0.0,Kotlin:        2.2.0
80967.33333333333,78662.0,7568.08571128349,74820.0,89420.0,62178.75714589669,99755.90952076996,commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe,88500.0,3,False,20,ci-windows-small,True,True,False,True,True,True,[True],[False],[False],[False],['.*'],2026-07-03 12:15:39,40fc6d5591384d4ab734e7359b9689be03bb365d,BSC_IOA,Microsoft Corporation,Virtual Machine,True,Microsoft Windows Server 2025 Datacenter 10.0.26100,64-bit,26100,UTC,runneradmin,Hyper-V UEFI Release v4.1,Microsoft Corporation,False,False,AMD EPYC 7763 64-Core Processor,2,4,2445,15.99,13.21,2,Microsoft Corporation,None,1.0 + 15.0,Microsoft Virtual Disk,150.0,Fixed hard disk media,SCSI,33.88,High performance,Not available,139,True,False,3.12.10,21.0.11,OpenJDK,v22.23.1,Gradle 9.0.0,Kotlin:        2.2.0
