"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","JVM","Reference","TestKIR","JS","InstrumentPropertyAccessors","CILabel","Native","Enabled","Methods","Dedicated","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5987.6492","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259396.5","260307","12339.153044149294","240914","298362","255976.2612736863","262816.7387263137","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24341.6358","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206550.8","205957.5","2926.0611401538363","200771","214509","205739.73723164725","207361.86276835273","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4638.5441","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5987.6492","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259959.74","257318","17950.455313206643","234950","321217","254984.12763847702","264935.35236152296","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24341.6358","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205483.34","204619.5","4928.193010772668","198064","229264","204117.3145908099","206849.3654091901","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4009.3345","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4087.1516","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"261231.68","258396.5","14105.906070110332","240830","308111","257321.72231991345","265141.63768008654","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21363.2169","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239420.54","237305.5","16138.738817541363","206024","273453","234947.10983018865","243893.97016981136","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4009.3345","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4087.1516","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"290037.32","290494","21439.68497659213","258175","414461","284094.542519687","295980.09748031304","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21363.2169","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201681.56","202295.5","15085.038120885592","179700","252743","197500.20076210357","205862.91923789642","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3841.7537","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6184.1755","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248724.92","246463.5","14160.720133077517","225242","297601","244799.7686368271","252650.07136317293","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25977.9127","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178499.76","177308","4611.5126189897865","173618","196521","177221.51391698932","179778.0060830107","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3841.7537","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6184.1755","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231875.8","228184","12340.304693092767","223981","301687","228455.2420528855","235296.35794711448","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25977.9127","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
