"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","InstrumentPropertyAccessors","JS","Enabled","JVM","Dedicated","Native","FlushEarly","TestKIR","Methods","Common","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"133748.5","125119","25362.936863398423","114318","220089","126718.25257840921","140778.7474215908","commonmain-plain-jar","1877.0636","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5225.0346","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110805.74","110393","2757.886145627643","105969","120374","110041.29296183703","111570.18703816299","commonmain-plain-linux-exe","14065.7502","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"124133.42","123486.5","4599.372677233454","116404","134074","122858.53893716384","125408.30106283615","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1972.1776","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3274.6871","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110868.4","110789","2175.0864772862406","106330","115549","110265.49678807954","111471.30321192044","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15873.2367","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122813.68","122438","4269.364931218503","115699","133305","121630.27241746393","123997.08758253606","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1972.1776","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3274.6871","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108337.22","108588.5","2415.6188735909845","103521","113316","107667.64460937887","109006.79539062113","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15873.2367","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121356.92","120938","4811.33237874661","111923","134914","120023.28670539078","122690.55329460921","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3119.2117","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2904.8818","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
