"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","FlushEarly","Reference","InstrumentPropertyAccessors","CILabel","JVM","Enabled","Dedicated","TestKIR","JS","Native","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5460.1788","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242451.98","233088","18349.67753538609","223445","303326","237365.7088841997","247538.25111580032","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23414.7288","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189097.26","184633","12069.967091259266","177249","229302","185751.63581306027","192442.88418693974","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5276.1886","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5460.1788","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234835.66","231391.5","8558.426931107262","225937","261570","232463.385086044","237207.934913956","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23414.7288","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182242.08","179850","9456.375082861037","173453","219336","179620.90655695845","184863.25344304153","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4387.6821","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3856.3172","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235244.7","231972.5","10567.891899233144","226586","286009","232315.4298142807","238173.9701857193","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26596.769","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182546.22","180402.5","7785.801649024922","175116","222605","180388.10588794443","184704.33411205557","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4387.6821","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3856.3172","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234699.7","231670","11377.597345535782","224014","286436","231545.99091523775","237853.40908476227","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26596.769","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183795.72","181230.5","8433.94590401413","173933","218610","181457.94946637156","186133.49053362844","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3933.7045","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5599.5019","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234991.42","231619","8129.596752029724","225989","255331","232738.01074726446","237244.82925273557","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25240.4278","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181759.76","177722.5","9408.830180728948","172702","210271","179151.7653314602","184367.75466853983","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3933.7045","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5599.5019","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234413.98","231926.5","6817.017420382313","227151","251121","232524.3991757957","236303.56082420432","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25240.4278","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
