"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","TestKIR","Native","Methods","Enabled","InstrumentPropertyAccessors","FlushEarly","Dedicated","JS","JVM","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4741.1782","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222730.3","221872.5","3452.0739241144624","218586","235517","221773.43392668775","223687.16607331223","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25165.2385","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201393.7","192134.5","15010.73241663023","187306","228851","197232.93725250862","205554.4627474914","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3800.6703","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4741.1782","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229903.38","229618","2827.1593148297416","225139","238299","229119.73141897976","230687.02858102025","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25165.2385","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195127.58","192773","8454.901684435448","188769","237911","192784.00082039068","197471.1591796093","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5526.5729","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","8064.1524","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224527.96","223187.5","3939.6707205199837","219635","238282","223435.93899020826","225619.98100979172","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26823.7788","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209894.84","211754.5","17366.904632216123","187050","254821","205080.97963480523","214708.70036519476","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5526.5729","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","8064.1524","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226301.1","225153","4312.654072964957","221480","243918","225105.69327955713","227496.50672044288","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26823.7788","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197384.44","197025.5","4498.18789437049","190843","220007","196137.60592804104","198631.27407195896","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4563.6817","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5218.2119","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227576.66","224593","7847.2189109991605","221714","257561","225401.52189147426","229751.79810852575","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27753.4194","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197641.92","195508.5","7330.070461670968","191653","227358","195610.1281282311","199673.71187176893","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4563.6817","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5218.2119","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228633.5","226740.5","6085.502767115584","221779","249398","226946.68469276567","230320.31530723433","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27753.4194","50","False","500","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-windows-large","True","2026-07-15 01:44:19","29ebbeefaf15891d595cd18bff20867df9e98257","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
