"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","FlushEarly","CILabel","InstrumentPropertyAccessors","Dedicated","Enabled","JVM","JS","TestKIR","Reference","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4389.3224","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250666.84","248686","15995.640226623997","229175","314024","246233.07473592286","255100.60526407714","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23100.6504","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222918.66","221956","7774.710112346337","212826","248921","220763.6203050577","225073.6996949423","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4666.9509","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4389.3224","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238600.02","233574.5","17284.912789552884","218382","284432","233808.8866140813","243391.15338591867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23100.6504","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238507.18","238000.5","14282.58656430756","201964","265486","234548.24898549775","242466.11101450224","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3240.302","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3876.0346","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"277160.52","275051","16386.144470925454","246097","363680","272618.51248182566","281702.5275181744","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23982.398","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217034.42","215859","15561.475982000144","191962","263544","212720.99892467962","221347.8410753204","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3240.302","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3876.0346","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247297.4","244450","15816.144013930445","228163","317388","242913.38854768648","251681.4114523135","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23982.398","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216474.26","216087","3122.1795422886416","208167","227083","215608.8359840378","217339.6840159622","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2687.3265","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4449.2551","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249256.8","247921","13629.740099637758","230439","291013","245478.82879309647","253034.7712069035","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21947.0031","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216621.32","215745","6480.830305333616","209029","249202","214824.9254898047","218417.7145101953","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2687.3265","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4449.2551","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253129.96","247421.5","21863.127089252725","223719","348502","247069.81035428046","259190.10964571952","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21947.0031","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
