"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","TestKIR","CILabel","Common","FlushEarly","Reference","Dedicated","JS","Enabled","InstrumentPropertyAccessors","Native","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","7357.6746","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235978.74","234842.5","6193.054252292381","227920","256051","234262.11294204355","237695.36705795644","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28898.7934","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180578","179289","4550.199681646635","174289","197968","179316.74899614707","181839.25100385293","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","6376.6725","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","7357.6746","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233426.42","229604.5","13708.045552186362","225162","317012","229626.74362902812","237226.0963709719","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28898.7934","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181398.9","178684.5","7760.440751868756","174981","217394","179247.81556998802","183549.98443001197","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4115.3769","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5084.9754","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234868.76","230808.5","22896.82665612893","225359","389308","228522.08345268897","241215.43654731105","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","30037.6097","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181606.6","179917","7676.288391494144","175365","228155","179478.84141422014","183734.35858577988","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4115.3769","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5084.9754","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241541.92","235857.5","16162.37590869231","226183","302359","237061.93796279203","246021.902037208","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","30037.6097","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205924.06","207290","13935.340079049938","184125","251792","202061.38080052953","209786.73919947047","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","5982.5609","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5073.2403","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232710.74","230018","9731.457815596528","224135","289785","230013.31751360226","235408.16248639772","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","29068.333","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180587.26","179433","4545.917086299552","175328","195021","179327.1960710138","181847.3239289862","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","5982.5609","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5073.2403","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247233.34","244818","15405.935934726524","225863","291388","242963.0324261715","251503.6475738285","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","29068.333","50","False","500","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-07-26 02:00:57","3985f7ddd4ac9a63543d231a2b11bd6b11caffc4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.07","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
