"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Dedicated","Methods","InstrumentPropertyAccessors","Enabled","Reference","TestKIR","JS","CILabel","Native","JVM","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4931.8755","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227580.74","225967","8389.190768324854","219068","260109","225255.37495706754","229906.10504293244","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25592.2935","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202817.1","196022.5","15553.820503500161","187081","253555","198505.80091505774","207128.39908494227","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3001.0315","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4931.8755","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227428.64","224495","8336.904918664788","218059","251202","225117.76785517862","229739.5121448214","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25592.2935","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200161.46","194567.5","13352.32828769758","187574","242411","196460.3834242709","203862.5365757291","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5147.398","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5035.0144","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237111.2","231834.5","15079.58699835033","222990","292535","232931.35173618182","241291.0482638182","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21901.8776","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197898.76","193229","14117.13163696897","184950","247958","193985.69075152968","201811.82924847034","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5147.398","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5035.0144","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232405.24","230570","7496.877787017032","223083","256572","230327.21149659678","234483.2685034032","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21901.8776","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217841.14","200754.5","28509.964552344114","188609","297087","209938.58100759058","225743.69899240945","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3156.9184","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3831.0145","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234578.18","233293","11267.911965798261","219850","276112","231454.87415135503","237701.48584864495","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27230.3558","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216104.94","200776.5","27791.76055949544","188434","293224","208401.45699772902","223808.42300227098","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3156.9184","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3831.0145","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239519.7","230713","20764.391875742178","220669","297148","233764.10421739958","245275.29578260044","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27230.3558","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
