"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","CILabel","Enabled","JS","Common","Dedicated","InstrumentPropertyAccessors","FlushEarly","TestKIR","Reference","JVM","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"102957","117657","16787.398517936006","84664","117657","61280.50107070732","144633.49892929266","commonmain-plain-jar","1941.9581","3","False","20","True","ci-linux-small","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-05-16 01:55:56","e2c703609858a90a56f8a41dcf0b62969a7f2ffa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5809.7933","3","False","20","True","ci-linux-small","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-05-16 01:55:56","e2c703609858a90a56f8a41dcf0b62969a7f2ffa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11150.333333333334","11663","469.2806551876322","10742","11663","9985.294289161662","12315.372377505006","commonmain-plain-linux-exe","15864.6185","3","False","20","True","ci-linux-small","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-05-16 01:55:56","e2c703609858a90a56f8a41dcf0b62969a7f2ffa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"102570","107790","4529.253912069846","99681","107790","91325.64634894472","113814.35365105528","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2052.0025","3","False","20","True","ci-linux-small","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-05-16 01:55:56","e2c703609858a90a56f8a41dcf0b62969a7f2ffa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4036.7195","3","False","20","True","ci-linux-small","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-05-16 01:55:56","e2c703609858a90a56f8a41dcf0b62969a7f2ffa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"62438","75728","13922.067518870896","47960","75728","27874.989452306094","97001.0105476939","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19021.3729","3","False","20","True","ci-linux-small","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-05-16 01:55:56","e2c703609858a90a56f8a41dcf0b62969a7f2ffa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
