"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Common","Methods","Native","JVM","CILabel","TestKIR","Dedicated","Enabled","InstrumentPropertyAccessors","Reference","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4827.174","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250195.66","247435.5","12364.348953556191","229407","281453","246768.4373239136","253622.88267608642","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20746.3434","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201950","202901.5","16872.58416509348","182913","232173","197273.1582777229","206626.8417222771","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3031.567","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4827.174","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258993.9","253214.5","21732.67492505143","235487","344912","252969.90984937194","265017.89015062805","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20746.3434","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199370.48","193080","12829.76455037111","187133","230874","195814.2507022791","202926.70929772092","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2304.7521","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5169.5951","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240179.78","238970","18273.23032252371","217795","287097","235114.69897050585","245244.86102949415","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22254.9947","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186915.1","186102","4563.1561501903925","181093","212207","185650.25764629422","188179.9423537058","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2304.7521","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5169.5951","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246867.5","246200","17900.174532554658","218550","301045","241905.82475981428","251829.17524018572","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22254.9947","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"213427.28","216659.5","12697.491945889093","186137","230489","209907.7147976721","216946.8452023279","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2821.784","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4772.4809","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"274765.52","276511.5","16765.453102260064","222719","319424","270118.37349331693","279412.6665066831","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20666.1447","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252961.72","249805.5","16521.79273644729","214042","288679","248382.11270093019","257541.32729906982","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2821.784","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4772.4809","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241336.44","237215","17136.296501941393","220286","293758","236586.50094730913","246086.37905269087","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20666.1447","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
