"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JS","Methods","Common","Enabled","Reference","FlushEarly","JVM","InstrumentPropertyAccessors","Dedicated","TestKIR","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"190221.54","188797","8282.129956769351","181399","224222","187925.85070000085","192517.22929999916","commonmain-plain-jar","3151.4412","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","ci-windows-large","2026-08-06 01:51:49","5478e2ae8251eb02063b73acfffb85aa087af517","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.79","High performance","0.24","138","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9950.1556","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","ci-windows-large","2026-08-06 01:51:49","5478e2ae8251eb02063b73acfffb85aa087af517","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.79","High performance","0.24","138","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223645.96","221346.5","6279.875791570325","216030","243788","221905.26723916637","225386.65276083362","commonmain-plain-win-exe","113256.09","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","ci-windows-large","2026-08-06 01:51:49","5478e2ae8251eb02063b73acfffb85aa087af517","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.79","High performance","0.24","138","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204797.1","199760","17781.78512221574","182719","243813","199868.24063012385","209725.95936987616","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4191.9228","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","ci-windows-large","2026-08-06 01:51:49","5478e2ae8251eb02063b73acfffb85aa087af517","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.79","High performance","0.24","138","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5258.884","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","ci-windows-large","2026-08-06 01:51:49","5478e2ae8251eb02063b73acfffb85aa087af517","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.79","High performance","0.24","138","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226082.06","223730","8113.45631176117","217931","256605","223833.12464905242","228330.99535094757","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","30104.71","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","ci-windows-large","2026-08-06 01:51:49","5478e2ae8251eb02063b73acfffb85aa087af517","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.79","High performance","0.24","138","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194857.92","192736","7438.070862578192","185259","225452","192796.19194441696","196919.64805558306","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4191.9228","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","ci-windows-large","2026-08-06 01:51:49","5478e2ae8251eb02063b73acfffb85aa087af517","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.79","High performance","0.24","138","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5258.884","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","ci-windows-large","2026-08-06 01:51:49","5478e2ae8251eb02063b73acfffb85aa087af517","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.79","High performance","0.24","138","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223809.86","221347","7282.030884054704","217448","258030","221791.3840197814","225828.33598021857","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","30104.71","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","ci-windows-large","2026-08-06 01:51:49","5478e2ae8251eb02063b73acfffb85aa087af517","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.79","High performance","0.24","138","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200128.06","196917.5","12361.785988806843","186321","238924","196701.54774149723","203554.57225850277","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5007.0799","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","ci-windows-large","2026-08-06 01:51:49","5478e2ae8251eb02063b73acfffb85aa087af517","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.79","High performance","0.24","138","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
