"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","TestKIR","InstrumentPropertyAccessors","JS","Dedicated","Native","Common","JVM","Reference","Enabled","Methods","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2776.4914","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84221.96","84037.5","1885.8391404553756","81771","93738","83699.23205937835","84744.68794062166","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","10722.6643","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"95348.28","95823","3115.0369869720776","88932","102292","94484.83579936314","96211.72420063686","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1894.5285","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2776.4914","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84594.84","83959.5","3216.879679415557","81660","102324","83703.16644525423","85486.51355474576","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","10722.6643","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"94938.12","94676","3136.384774655985","88738","101680","94068.75849451276","95807.48150548723","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1237.2835","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2075.7663","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"91454.32","85897","12016.187844057426","81699","138870","88123.60265985061","94785.0373401494","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","9970.1098","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"95125.78","95245.5","2981.0187362232878","89300","104696","94299.48376321477","95952.07623678523","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1237.2835","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2075.7663","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"86025.54","84093.5","6873.880231509917","81289","121512","84120.19760869218","87930.88239130781","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","9970.1098","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"97027.28","96003.5","4515.933700277953","91132","111764","95775.52704160068","98279.03295839932","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1064.4927","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1849.295","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84863.22","84638","2427.318721367683","81755","96498","84190.40157703178","85536.03842296822","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","9382.7044","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"96610.1","95871","4839.256108501952","89994","117794","95268.72664239371","97951.4733576063","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1064.4927","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1849.295","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"85064.92","85002","2310.322310229215","81710","96708","84424.53132766245","85705.30867233755","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","9382.7044","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","True","True","True","System.Boolean[]","System.String[]","ci-linux-large","2026-08-30 04:20:51","41c5475500140ebd3e12343010eb0a74e75fc7bd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","13.97","145","82","0.02","155","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
