"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","Methods","JVM","FlushEarly","Reference","JS","InstrumentPropertyAccessors","Dedicated","Enabled","CILabel","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3751.544","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136215.84","135706","4367.783206289301","128585","153513","135005.1522634234","137426.5277365766","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15663.3676","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152980.34","152353.5","4265.138773778859","142398","164456","151798.10384854084","154162.57615145916","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2401.2031","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3751.544","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134784.22","134034","3603.757621071174","127330","145417","133785.30935096805","135783.13064903195","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15663.3676","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153315","153269","4939.684700340246","141440","161522","151945.78925697465","154684.21074302535","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1915.3271","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3344.7503","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135361.06","135018","3343.051529207825","126736","142644","134434.4133927857","136287.7066072143","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16062.542","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152706.9","151604","5213.816578699958","143904","165473","151261.70377700464","154152.09622299534","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1915.3271","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3344.7503","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135596.68","135390","3071.7894767362804","130530","141540","134745.22339760393","136448.13660239606","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16062.542","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152469.08","152360","4021.0508873138306","142927","160422","151354.501558833","153583.65844116698","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2702.8411","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3132.5258","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135935.66","135549","2994.9631227330015","128905","143213","135105.49857647266","136765.82142352735","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18867.8941","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151899.02","150859.5","5720.246817459283","142689","168811","150313.44847664298","153484.591523357","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2702.8411","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3132.5258","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136299.7","136124","4365.019714989257","126220","148081","135089.7782641311","137509.62173586892","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18867.8941","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
