"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","JVM","InstrumentPropertyAccessors","Native","JS","TestKIR","Reference","Dedicated","CILabel","Enabled","Methods","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4590.8724","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143297.3","142840","3155.929290030667","137742","151998","142422.52103124504","144172.07896875494","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19632.0638","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143846","143916","4463.812400051905","134850","156679","142608.69432893564","145083.30567106436","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2083.8238","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4590.8724","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143877.68","143326.5","3306.6147275929643","138321","157821","142961.1331589123","144794.2268410877","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19632.0638","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143744.1","143764","4507.434689442748","134328","153776","142494.7028472131","144993.4971527869","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2497.2955","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4379.531","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143229.38","142108.5","3368.7585546595406","138707","157180","142295.60776887345","144163.15223112656","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15188.2684","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143418.98","143459.5","4404.604981199582","133225","154235","142198.08578814354","144639.87421185648","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2497.2955","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4379.531","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143760.52","143838.5","3373.0719132928216","137223","156136","142825.55216685886","144695.48783314112","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15188.2684","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142787.34","143350.5","3475.2257222828453","135175","149481","141824.056575643","143750.623424357","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1481.918","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2315.1207","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144238.52","143603","5038.168736145859","137471","170663","142842.0108749884","145635.02912501158","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14314.4191","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142602.32","142083.5","4202.71104650417","135779","153386","141437.38793170254","143767.25206829747","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1481.918","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2315.1207","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143250.18","142730.5","3015.5767424139212","138167","150217","142414.30477261025","144086.05522738973","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14314.4191","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","System.String[]","True","2026-06-12 04:14:53","5f24bb1eb82931f85a1a6b3ab965f08d55d00d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.19","145","85","0.06","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
