"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","JS","Reference","Native","IOA","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"47316.666666666664","63136","13986.36251258108","36591","63136","12594.036971690446","82039.29636164289","commonmain_plain_jar","1027.7204","3","False","5","True","True","True","True","True","2026-04-10 14:05:24","0a0dcc8193f3922a1cbad6d462aa480e44fe17b1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.21","145","84","0.12","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"53727.333333333336","61782","9265.853567445005","43601","61782","30723.868212158417","76730.79845450826","commonmain_ioa_jar","2216.749","3","False","5","True","True","True","True","True","2026-04-10 14:05:24","0a0dcc8193f3922a1cbad6d462aa480e44fe17b1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.21","145","84","0.12","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"4147.666666666667","5253","963.8933205149485","3482","5253","1754.6991739682994","6540.634159365034","commonmain_plain_exe","1137.9157","3","False","5","True","True","True","True","True","2026-04-10 14:05:24","0a0dcc8193f3922a1cbad6d462aa480e44fe17b1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.21","145","84","0.12","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"3488","3574","74.5385806143369","3442","3574","3302.95006079439","3673.04993920561","commonmain_ioa_exe","2512.9423","3","False","5","True","True","True","True","True","2026-04-10 14:05:24","0a0dcc8193f3922a1cbad6d462aa480e44fe17b1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.21","145","84","0.12","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
,,,,,,,"commonmain_plain_node","968.6739","3","False","5","True","True","True","True","True","2026-04-10 14:05:24","0a0dcc8193f3922a1cbad6d462aa480e44fe17b1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.21","145","84","0.12","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
,,,,,,,"commonmain_ioa_node","6493.8525","3","False","5","True","True","True","True","True","2026-04-10 14:05:24","0a0dcc8193f3922a1cbad6d462aa480e44fe17b1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.21","145","84","0.12","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
