"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","FlushEarly","CILabel","InstrumentPropertyAccessors","Dedicated","Reference","Methods","Enabled","JVM","JS","Common","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3180.8141","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185093.4","183995","7514.83355960539","173782","212157","183010.3944103618","187176.4055896382","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21788.9314","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"141437.2","139410.5","6406.888324295969","134908","165844","139661.3011612775","143213.09883872254","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2020.3565","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3180.8141","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180375.6","178294","5612.268441657481","173339","202657","178819.9585554094","181931.24144459062","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21788.9314","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142943.14","142526","3770.729626846178","136651","156691","141897.94707224774","143988.3329277523","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3775.4596","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3401.8181","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179447.54","178519.5","4987.591747240631","172801","203769","178065.05010106455","180830.02989893546","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20096.9922","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"149049.76","142476","13424.410485380728","137796","214032","145328.70325844336","152770.81674155666","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3775.4596","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3401.8181","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186438.3","184604.5","10495.01322446202","175382","217542","183529.23075229343","189347.36924770655","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20096.9922","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"140956.54","139969.5","5138.805996512801","135000","163632","139532.13564960417","142380.94435039585","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3631.6335","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3116.9531","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179561.2","178179","4795.983842800992","173855","200458","178231.82110249938","180890.57889750064","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20346.8083","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"141233.44","139848.5","6063.000961536442","135430","167488","139552.86187505675","142914.01812494325","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3631.6335","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3116.9531","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180494.44","178560.5","6038.643100591931","173379","204604","178820.61352964718","182168.26647035283","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20346.8083","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
