"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Native","FlushEarly","Common","Reference","TestKIR","Methods","CILabel","JVM","JS","InstrumentPropertyAccessors","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4897.8607","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233173.36","230241","6125.458795844752","226029","249654","231475.4694466511","234871.25055334886","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20629.7393","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181578.3","179435","6737.612355657012","174496","213707","179710.72913680898","183445.870863191","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3725.0037","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4897.8607","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231475.12","229479.5","5614.925832792014","224846","250742","229918.7419641671","233031.4980358329","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20629.7393","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179355.88","177847","4354.968289394615","173310","189958","178148.74437716094","180563.01562283907","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3922.7175","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4326.2446","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235131.5","230969","14458.394804982145","225509","318937","231123.8374274233","239139.1625725767","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20972.8719","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180700.46","179045.5","6067.6187583208075","172825","202390","179018.60188709197","182382.31811290802","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3922.7175","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4326.2446","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234488.14","229984","12951.718871049274","225055","302676","230898.10668923764","238078.1733107624","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20972.8719","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180025.48","178459","4834.702220490559","173139","198826","178685.3689157504","181365.5910842496","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4650.1089","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","8155.492","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234355.34","230478.5","9943.529149314409","225546","279704","231599.13433896072","237111.54566103927","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25432.2867","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193746.24","186470","15620.777537625969","173081","221761","189416.38137208935","198076.09862791063","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4650.1089","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","8155.492","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235913.12","233800.5","7413.576631768369","227319","263150","233858.18139880552","237968.05860119447","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25432.2867","50","False","500","False","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-13 02:40:08","f81229cfd2e1f36e1ec02d46a6595e1fd92146ea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.99","High performance","0.07","143","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
