"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Enabled","JVM","Common","Methods","Native","TestKIR","FlushEarly","InstrumentPropertyAccessors","Dedicated","Reference","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"76393.33333333333","91180","12850.58789835443","67926","91180","44490.384689185856","108296.2819774808","commonmain-plain-jar","1931.7569","3","False","20","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","2026-05-04 01:49:13","f9ee900773f92a2aab007e6fef281ea5d06274ab","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","86","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6347.2149","3","False","20","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","2026-05-04 01:49:13","f9ee900773f92a2aab007e6fef281ea5d06274ab","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","86","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11797.666666666666","11822","21.548395145191982","11781","11822","11744.170488194637","11851.162845138695","commonmain-plain-linux-exe","16361.9613","3","False","20","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","2026-05-04 01:49:13","f9ee900773f92a2aab007e6fef281ea5d06274ab","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","86","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"177907","238610","52913.16319215853","141542","238610","46544.455245530495","309269.54475446953","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2427.7775","3","False","20","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","2026-05-04 01:49:13","f9ee900773f92a2aab007e6fef281ea5d06274ab","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","86","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4259.6961","3","False","20","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","2026-05-04 01:49:13","f9ee900773f92a2aab007e6fef281ea5d06274ab","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","86","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"77691","78960","1101.7862769158091","76978","78960","74955.69860466286","80426.30139533714","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","21819.2789","3","False","20","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","2026-05-04 01:49:13","f9ee900773f92a2aab007e6fef281ea5d06274ab","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","86","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
