"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Methods","Dedicated","Reference","TestKIR","Common","Enabled","Native","JS","InstrumentPropertyAccessors","FlushEarly","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4906.7733","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"170781.22","170117","4090.9525326116445","165054","191047","169647.26581128978","171915.17418871023","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29277.6822","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201272.74","200118","7431.119175220279","191061","227383","199212.93885384337","203332.5411461566","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3300.0926","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4906.7733","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"167433.16","167216.5","3027.4177274248977","161144","173385","166594.00261901776","168272.31738098225","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29277.6822","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203646.3","202614","8355.45239129907","191853","225424","201330.28675805856","205962.31324194142","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2044.9072","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2865.9115","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"174540.24","172834.5","6410.660829255835","164432","198976","172763.2954762525","176317.18452374748","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","13677.4966","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198135.7","197538.5","4003.316819991205","189545","207205","197026.03719150365","199245.36280849637","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2044.9072","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2865.9115","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"169485.52","168966.5","4275.80846748451","163952","192870","168300.32636033403","170670.71363966595","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","13677.4966","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196510.64","195663","5283.910258781573","189626","212933","195046.0148001351","197975.26519986492","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1648.5704","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2416.8295","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"169066.24","168980","3399.096948260445","163600","184006","168124.058395206","170008.42160479398","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","13064.2271","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198717.64","198254","5273.10778813653","190532","220411","197256.0090922318","200179.27090776822","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1648.5704","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2416.8295","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"167946.88","166967.5","5455.136540837788","162712","195134","166434.79329619263","169458.96670380738","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","13064.2271","50","False","500","True","System.String[]","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","2026-09-23 02:37:59","884174c850d6de78bf59029a77906cb6dbe058b0","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.11","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
