"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","CILabel","Methods","Enabled","Common","Reference","Native","JVM","Dedicated","InstrumentPropertyAccessors","TestKIR","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3505.0258","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176650.72","170652.5","11971.268994913255","164961","214774","173332.45352960113","179968.98647039887","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","17296.8656","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212882.92","209254.5","13837.496529269703","195498","248241","209047.36164884717","216718.47835115285","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2511.3348","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3505.0258","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182689.58","181889.5","9826.365784677757","169164","204839","179965.85036674005","185413.30963325992","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","17296.8656","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223870.3","226417","13910.338375628748","195855","245443","220014.55091914942","227726.04908085056","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2290.386","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3432.762","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177086.8","173494.5","9426.711831767409","165199","199212","174473.84879067057","179699.7512093294","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","14086.2627","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209793.74","200697.5","20775.862599847813","193314","262539","204034.96469489386","215552.51530510612","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2290.386","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3432.762","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186678.14","188840","15604.468888960324","163994","221842","182352.80189886625","191003.47810113378","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","14086.2627","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203688.56","203507","3418.970051142924","198329","216835","202740.86985212794","204636.25014787205","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1877.3123","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3668.2571","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"171716.84","170710.5","5408.080142806724","165032","198360","170217.79666426586","173215.88333573414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","13376.4752","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227294.16","229092.5","12681.135063727137","196733","255633","223779.12869409204","230809.19130590797","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1877.3123","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3668.2571","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192767.58","193906","11918.453541462499","170730","214560","189463.9532263934","196071.20677360657","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","13376.4752","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
