"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Methods","Enabled","TestKIR","InstrumentPropertyAccessors","Native","FlushEarly","JS","Common","CILabel","Reference","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3838.244","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140072.52","139301.5","3463.583765349387","134620","153944","139112.463561467","141032.57643853297","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20849.4357","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"161080.84","161798","5298.629281200171","151535","170812","159612.13489527375","162549.54510472625","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2167.606","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3838.244","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139052","138748.5","2671.537812892471","135369","148271","138311.4874985525","139792.5125014475","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20849.4357","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159529.78","159175.5","5184.872038213968","149439","172183","158092.6067943002","160966.9532056998","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3158.2477","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4109.3846","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137964.3","137780.5","2938.5376430448932","134135","153578","137149.77892148576","138778.82107851421","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20893.0594","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157257.54","158038.5","5230.791133865168","145293","170348","155807.6386703632","158707.44132963681","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3158.2477","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4109.3846","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138799.86","138783.5","2520.909384102718","134562","148397","138101.0995688597","139498.62043114027","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20893.0594","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157657.84","157635.5","4537.069724851412","148785","164808","156400.2284344898","158915.4515655102","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2565.1185","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3572.6135","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138079.98","137908","2623.964958156387","133914","147710","137352.65402112078","138807.30597887925","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20051.6466","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158445","157955.5","5531.508433602937","148258","176931","156911.74408755224","159978.25591244776","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2565.1185","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3572.6135","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138807.84","138045","4001.0307159785816","132948","153905","137698.81086720637","139916.86913279362","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20051.6466","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
