"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Methods","CILabel","Enabled","Reference","Dedicated","Common","JVM","FlushEarly","InstrumentPropertyAccessors","Native","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4922.0392","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223571.06","219354.5","11464.093086784014","215513","287076","220393.37551896702","226748.74448103298","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26661.3306","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187104","186481","3831.3864970524596","180439","195149","186041.99384562235","188166.00615437765","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3972.7626","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4922.0392","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226238.8","219874.5","25460.043280338992","215843","393307","219181.63605289036","233295.96394710962","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26661.3306","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187507.34","186988.5","4925.010165160958","181244","209465","186142.1968306024","188872.4831693976","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5408.1142","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","8156.5093","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230709.6","219866.5","40977.44606886247","215774","497831","219351.23144352852","242067.9685564715","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28916.0655","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187984.4","186780","4515.9166402891915","181528","202324","186732.6517703883","189236.1482296117","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5408.1142","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","8156.5093","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222286.74","219968","7439.789995417771","215555","250385","220224.5354251054","224348.9445748946","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28916.0655","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187400.08","186064.5","4010.4441753084293","181522","196349","186288.44158940317","188511.7184105968","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","5094.5427","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4648.0244","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224831.2","221724.5","10370.845141008302","218726","286643","221956.54838906974","227705.8516109303","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","29161.238","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189502.32","188037.5","7790.764716964698","180903","229584","187342.8301956981","191661.8098043019","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","5094.5427","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4648.0244","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225435.42","223629","5849.913001585789","217448","239063","223813.90684411314","227056.9331558869","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","29161.238","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
