"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","FlushEarly","JS","Dedicated","JVM","Methods","Reference","Native","CILabel","Common","TestKIR","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3776.1433","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136839.42","136038","3633.3891756365233","132015","153059","135832.29590308532","137846.5440969147","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14960.8596","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154197.72","153532","4282.9695689046475","146436","166548","153010.54140429106","155384.89859570895","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2012.4477","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3776.1433","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136350.04","136333","2472.4999738759","131977","142132","135664.69797277963","137035.3820272204","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14960.8596","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152651.74","152040","5125.851964268169","143875","164500","151230.92632414936","154072.55367585062","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1521.4221","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2973.2942","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137338.44","136771.5","2786.894029750903","132924","149222","136565.95238658102","138110.927613419","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14717.6674","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152970.28","152672","4689.679411348338","144503","167547","151670.3671875647","154270.1928124353","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1521.4221","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2973.2942","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136881.04","136795","1849.3696660301998","132443","141052","136368.4208819459","137393.6591180541","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14717.6674","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153004.14","152958.5","4318.532507787377","143047","163777","151807.10386055586","154201.17613944417","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1349.4655","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2377.0561","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137577.38","137067","3636.17568158456","132173","156846","136569.48352304264","138585.27647695737","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14814.3992","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152277.8","152125","4429.191357531604","144168","161427","151050.09079231927","153505.5092076807","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1349.4655","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2377.0561","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136834.7","136454.5","2753.3357301384704","131780","147705","136071.51427265967","137597.88572734036","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14814.3992","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
