"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Dedicated","Common","JVM","JS","FlushEarly","Enabled","CILabel","Reference","InstrumentPropertyAccessors","Native","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"207832","205035.5","7451.8403096148","199950","237450","205766.45524842283","209897.54475157717","commonmain-plain-jar","3072.775","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9257.8918","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246430.32","244546.5","8872.186543280946","233299","281172","243971.07535866727","248889.56464133275","commonmain-plain-win-exe","105623.1749","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204114.78","203668.5","5083.649256876284","196079","219667","202705.66431781722","205523.89568218277","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3755.3217","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5256.4846","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243376.18","240220","15874.79811691012","230085","345888","238975.91045981363","247776.44954018635","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","37500.39","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206409.9","205821","5252.019045188279","197072","222316","204954.11459354477","207865.68540645522","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3755.3217","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5256.4846","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245116.78","242933","6482.5137297760275","235736","267580","243319.91886835586","246913.64113164414","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","37500.39","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205844.1","204594.5","6848.46660999112","194681","231728","203945.8019051835","207742.3980948165","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4362.9899","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
