"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","TestKIR","CILabel","Dedicated","InstrumentPropertyAccessors","Enabled","Reference","JS","FlushEarly","Native","Common","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3983.4857","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133677.8","132771.5","3567.2574957264196","128677","144413","132689.00666953705","134666.59333046293","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15483.7068","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152382.92","151513","4720.668613314717","139481","162221","151074.41741902195","153691.42258097808","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2564.4215","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3983.4857","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135554.72","134497.5","4253.9120100664695","129224","149915","134375.59574867555","136733.84425132445","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15483.7068","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151875.94","151441.5","4470.983457580578","142350","164789","150636.6466132002","153115.2333867998","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2664.9733","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4416.9006","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134568.14","134556","3350.6104653039097","128463","144110","133639.39816259666","135496.88183740337","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19225.0414","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151983.7","151216","5326.5501921017885","141478","163995","150507.25561362307","153460.14438637695","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2664.9733","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4416.9006","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135661.3","135738","2652.822311102972","130348","141908","134925.97517097814","136396.62482902184","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19225.0414","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152315.76","151980","4948.27752987371","142249","164677","150944.16744614585","153687.35255385417","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2191.5147","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3807.9253","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135379.66","134942.5","3934.2837618524045","128063","149226","134289.13217896977","136470.18782103024","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15589.1968","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152235.12","152213","3989.6634129424283","144756","164440","151129.24172285417","153340.99827714582","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2191.5147","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3807.9253","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134623.98","134872","2915.1485801738813","128528","140609","133815.94203895074","135432.01796104928","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15589.1968","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
