"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","TestKIR","JVM","CILabel","Methods","Common","Reference","Enabled","Native","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4021.9435","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223796.6","221290","5699.7135946663575","217875","242412","222216.719995625","225376.48000437501","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24394.1323","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188577.08","187081","6425.168949863164","180865","224349","186796.11403039075","190358.04596960923","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2447.8265","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4021.9435","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224561.9","221343","6985.814238986937","216746","247067","222625.5310847651","226498.2689152349","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24394.1323","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187743.3","187715.5","3941.1670200071244","181373","197995","186650.86423715076","188835.73576284922","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2587.9252","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3592.6704","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224600.34","221226","7525.207146406438","217045","251357","222514.45899880148","226686.22100119852","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19239.4162","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189059.38","187594","4612.5764808216","183099","204823","187780.83902953443","190337.92097046558","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2587.9252","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3592.6704","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224339.96","221244","12821.310458604392","216754","306436","220786.07405696093","227893.84594303905","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19239.4162","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188963.76","188103.5","6643.2561279873","180606","212841","187122.3433487545","190805.1766512455","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2255.6295","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3578.1575","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222596.26","220695","6707.184724682957","215684","255551","220737.1232458143","224455.39675418573","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19378.5874","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188469.74","187304","4521.016328803305","182029","201511","187216.57820885084","189722.90179114914","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2255.6295","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3578.1575","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223688.66","221536","9960.638043267085","216311","286276","220927.71199550718","226449.60800449282","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19378.5874","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-06-16 02:57:45","ae26161d0a94b129f75fffd908d58b920d84f581","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.55","High performance","0.5","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
