"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Native","FlushEarly","Dedicated","JVM","CILabel","Reference","TestKIR","JS","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"182014.36","179901.5","7491.618712199628","174754","209363","179937.7892377635","184090.93076223647","commonmain-plain-jar","3687.3669","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","System.Boolean[]","True","True","2026-04-11 01:29:44","4193e87dfd88a9b685750d5482675b14786cf367","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.26","High performance","0.2","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7162.9978","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","System.Boolean[]","True","True","2026-04-11 01:29:44","4193e87dfd88a9b685750d5482675b14786cf367","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.26","High performance","0.2","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230892.82","229179","6044.9430398221175","225692","261008","229217.2472755849","232568.3927244151","commonmain-plain-exe","4270.2686","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","System.Boolean[]","True","True","2026-04-11 01:29:44","4193e87dfd88a9b685750d5482675b14786cf367","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.26","High performance","0.2","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"510143.76","503308","44392.25964777083","443509","597527","497838.85341097997","522448.66658902005","commonmain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-jar","3007.8105","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","System.Boolean[]","True","True","2026-04-11 01:29:44","4193e87dfd88a9b685750d5482675b14786cf367","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.26","High performance","0.2","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-node","6538.2282","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","System.Boolean[]","True","True","2026-04-11 01:29:44","4193e87dfd88a9b685750d5482675b14786cf367","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.26","High performance","0.2","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"2237531.28","1966317","1473153.5623656667","1814165","12358021","1829193.94551827","2645868.6144817295","commonmain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-exe","22109.1836","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","System.Boolean[]","True","True","2026-04-11 01:29:44","4193e87dfd88a9b685750d5482675b14786cf367","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.26","High performance","0.2","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
