"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","CILabel","Methods","Enabled","FlushEarly","InstrumentPropertyAccessors","JVM","Reference","Common","JS","TestKIR","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2559.922","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143053.06","143037","2837.391597569709","137372","149848","142266.57517490687","143839.54482509312","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14157.0151","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143485.02","143563","4500.765116315769","136736","156160","142237.47155856428","144732.5684414357","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1525.583","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2559.922","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143375.76","142843","3985.0347426852086","136577","157229","142271.16472479186","144480.35527520816","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14157.0151","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143214.4","142284.5","5318.847746170102","134967","157161","141740.09062270905","144688.70937729094","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1415.1504","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2645.8941","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142993.72","143444","2818.3289233160845","136561","149223","142212.51907862994","143774.92092137007","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13890.7857","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142857.34","142567","4391.719205040136","132635","154184","141640.01754306717","144074.66245693283","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1415.1504","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2645.8941","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143852.54","142608","4843.377212740917","138452","160056","142510.0243305784","145195.05566942162","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13890.7857","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142548","141692","5812.186683238619","131207","166280","140936.94404604184","144159.05595395816","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1402.6381","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2456.0446","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142883.34","141832","4090.540613989045","137886","162189","141749.4999893067","144017.1800106933","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13503.8322","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142206.98","140963.5","5311.346354892765","131445","155715","140734.74990228817","143679.21009771185","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1402.6381","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2456.0446","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143437.64","143248.5","4496.00850079086","136641","162467","142191.41002512083","144683.8699748792","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13503.8322","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
