"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","InstrumentPropertyAccessors","Common","JS","TestKIR","CILabel","Native","Enabled","JVM","FlushEarly","Dedicated","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5105.1122","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223886.58","222333.5","5362.332800647304","216591","244721","222400.2171805638","225372.94281943617","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29352.0897","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188084.58","187304","5164.038030377359","181664","213211","186653.18168664264","189515.97831335734","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4095.4544","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5105.1122","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223764.74","221021","6943.870090157187","218033","258344","221839.99740965597","225689.482590344","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29352.0897","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188782.12","187831","5380.781176273458","181709","215804","187290.64355173302","190273.59644826697","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5158.2383","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4752.0843","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224382.16","221692.5","8575.470159919716","216670","264478","222005.16094403868","226759.15905596133","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28001.7113","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187875.88","187854.5","4569.178842136579","182676","208569","186609.3682412583","189142.39175874172","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5158.2383","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4752.0843","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225320","223186.5","8295.332675913705","218623","273379","223020.65109296393","227619.34890703607","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28001.7113","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189538.9","189420","4206.041550009719","181559","200789","188373.04476323002","190704.75523676997","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4402.2007","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6183.9527","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240146.4","227945","26542.71210094156","217894","323705","232789.13556667804","247503.66443332194","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25376.9529","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189176.16","188733.5","3825.7910232355066","182381","197319","188115.70483183448","190236.61516816553","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4402.2007","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6183.9527","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222797.34","220835","4792.778341315149","216962","237689","221468.84962217975","224125.83037782024","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25376.9529","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
