"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","FlushEarly","TestKIR","Reference","JVM","Native","Common","Enabled","CILabel","JS","Methods","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3317.7939","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137834.64","137621","2542.67654061701","132220","142598","137129.84602090018","138539.43397909985","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16005.6002","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153839.56","152849.5","5090.97522897537","144518","163717","152428.4136619536","155250.7063380464","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1729.654","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3317.7939","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137362.1","137887","2674.4839078725804","132168","145204","136620.77088268707","138103.42911731295","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16005.6002","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153781.1","152042.5","7211.805376305872","143192","182247","151782.0895374161","155780.11046258392","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2591.1026","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5114.7358","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137787.82","137399","3227.94849673148","131652","146525","136893.078325627","138682.56167437302","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19314.9437","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152994.72","152578.5","5204.56904463839","144811","171901","151552.08706266998","154437.35293733003","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2591.1026","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5114.7358","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137281.94","136685","3933.8688668577465","131178","156530","136191.52718199493","138372.35281800508","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19314.9437","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155332.14","154971.5","6285.3292707084565","143653","181162","153589.9356118712","157074.34438812884","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2293.2383","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4149.6389","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137389.04","137259","4034.8250902079303","132248","159612","136270.64354458245","138507.43645541757","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20006.5906","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153171.86","151751","5424.781654629812","144879","169658","151668.1872413775","154675.53275862246","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2293.2383","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4149.6389","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136401.92","136521.5","2642.3835084473044","130684","143806","135669.48865945113","137134.3513405489","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20006.5906","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","System.String[]","False","2026-09-16 03:55:27","57758486dc4e19ad49d0a49f4eb90492ee01f122","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","83","0.07","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
