"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Enabled","JS","Native","JVM","InstrumentPropertyAccessors","Reference","Methods","TestKIR","FlushEarly","Dedicated","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3184.8091","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109759.24","109147.5","3297.567956998067","103721","121342","108845.20079578382","110673.27920421619","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14344.1097","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109952.32","109874.5","3823.904252494419","101627","119720","108892.38781800163","111012.25218199838","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1760.7912","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3184.8091","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110325.12","110082","3522.199588962811","104977","122452","109348.81608409315","111301.42391590684","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14344.1097","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110447.56","110338.5","4046.591244542518","102487","119960","109325.9021329952","111569.2178670048","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1886.3173","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3849.7311","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109448.3","109790.5","2354.6940808278505","104264","115530","108795.61210034811","110100.9878996519","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14376.6608","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109869.98","108553","4343.912749950633","103719","125627","108665.90881634985","111074.05118365014","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1886.3173","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3849.7311","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111059.54","110359.5","4302.976223024984","104728","132726","109866.8158426985","112252.26415730148","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14376.6608","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109649.64","109143.5","4287.172222301487","101594","119339","108461.29648820244","110837.98351179756","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1383.8888","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1849.544","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109787.24","109338","3500.234117884116","104298","120780","108817.02460204542","110757.45539795459","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11118.5593","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109818.66","109793","4321.452564797619","102752","119900","108620.8144620474","111016.5055379526","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1383.8888","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1849.544","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110688.86","109286","4935.596463385936","104759","130321","109320.78245844347","112056.93754155653","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11118.5593","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","False","ci-linux-large","2026-06-08 04:16:47","81f19ee456dd1a4be0fc94bb8503c110823f548f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.62","13.98","145","86","0.03","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
