"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JS","Dedicated","Methods","Enabled","FlushEarly","CILabel","TestKIR","Common","Reference","JVM","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5519.7922","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221419.28","219780.5","8010.494440751218","216415","273196","219198.88422363278","223639.67577636722","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25882.804","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186403.4","186027.5","2285.4232850473745","182745","193593","185769.91298532646","187036.88701467353","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3418.3515","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5519.7922","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222496.5","220049","7180.3849372397","217696","259673","220506.19883878445","224486.80116121555","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25882.804","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187223.44","186682","2578.8912991945253","183501","193326","186508.60780196346","187938.27219803655","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4994.1341","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4804.3544","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222181.58","220642.5","4987.74988771981","217281","243203","220799.0462667601","223564.11373323988","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21682.1125","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187790.76","187456.5","3200.4590777842213","183581","198186","186903.63800381","188677.88199619003","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4994.1341","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4804.3544","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223095.72","220916.5","9486.254945951634","217452","279546","220466.26428146404","225725.17571853596","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21682.1125","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186757.6","186606","1688.0932487059276","183772","190590","186289.6844240934","187225.5155759066","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2360.4895","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3902.7887","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220262.78","219052.5","4267.802164810265","216859","238490","219079.80559421203","221445.75440578797","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18971.5367","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186295.3","186022","1990.0254254349493","182895","190861","185743.693094561","186846.90690543898","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2360.4895","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3902.7887","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236478.02","236884.5","9803.021921607144","216519","269105","233760.76095545958","239195.2790445404","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18971.5367","50","False","500","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-25 02:42:59","5b9d4a592f4e863da9a34c701d9a0c14bbb9436f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.4","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
