"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Methods","Native","TestKIR","Common","Enabled","FlushEarly","Reference","InstrumentPropertyAccessors","JS","JVM","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3571.4832","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138753.12","138023.5","3457.352323288291","133214","151964","137794.7908290827","139711.4491709173","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19698.7718","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157588.28","157138.5","4964.149198698481","148173","170169","156212.28804400118","158964.27195599882","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2531.5667","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3571.4832","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138400.02","138178","2844.59751817514","133897","146005","137611.53779561954","139188.50220438043","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19698.7718","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156573.62","155770","5029.5851449402935","149053","174678","155179.49012508336","157967.74987491663","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2517.7708","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4400.914","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137691.36","137507","3128.812161384012","132249","147578","136824.09751582154","138558.62248417843","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17328.8833","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156853.66","155982.5","6752.089060280469","146082","187116","154982.07639901366","158725.24360098634","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2517.7708","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4400.914","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138830.66","138285.5","3012.4887982516775","132663","148121","137995.64070706302","139665.67929293698","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17328.8833","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155955.88","154700.5","4657.425642772967","146210","164856","154664.90747608826","157246.85252391174","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1630.8576","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3003.6913","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137363.5","137375.5","2547.905416259419","131890","142638","136657.2566505177","138069.7433494823","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15171.2567","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155986.42","155671","4475.902153231919","148085","166800","154745.76322032473","157227.0767796753","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1630.8576","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3003.6913","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138774.26","138275","5101.424430169939","132337","166379","137360.21729115272","140188.3027088473","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15171.2567","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
