mean,median,stddev,min,max,ci95_lower,ci95_upper,executable,buildTimeMs,RepetitionCount,CleanBuild,StepCount,Reference,IOA,JVM,JS,Native,IoaKinds,CollectionTimestamp,GitCommitHash,GitBranch,OS,OSArchitecture,OSRelease,DeviceManufacturer,DeviceModel,IsVirtualMachine,HyperVEnabled,CPU,CPUCores,CPULogicalProcessors,CPUMaxClockSpeedMHz,TotalRAMGB,AvailableRAMGB,DiskSizeGB,SystemDriveFreeSpaceGB,SystemUptimeHours,TimeZone,Username,JavaVersion,JavaDistribution,NodeVersion,PythonVersion,GradleVersion,KotlinVersion,RunningProcessCount
52482.4,52474.0,1052.7017330542922,50374.0,55738.0,52190.60596666827,52774.19403333173,commonmain_plain_jar,787.7150420008547,50,True,500,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet']",2026-04-10T12:29:56.567040,8e601992660f048cf6c94e585639253f7b7a0477,BSC_IOA,Darwin,arm64,25.0.0,Apple Inc.,Mac Studio,False,False,Apple M4 Max,14,14,4,36.0,23.31,994.66,716.76,2.79,CEST,lian,21.0.8,OpenJDK,v24.11.1,Python 3.12.12,9.0.0,2.2.0,696
56122.84,55693.5,2623.971023670274,54373.0,73587.0,55395.512339846086,56850.16766015391,commonmain_plain_node,774.2196670005796,50,True,500,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet']",2026-04-10T12:29:56.567040,8e601992660f048cf6c94e585639253f7b7a0477,BSC_IOA,Darwin,arm64,25.0.0,Apple Inc.,Mac Studio,False,False,Apple M4 Max,14,14,4,36.0,23.31,994.66,716.76,2.79,CEST,lian,21.0.8,OpenJDK,v24.11.1,Python 3.12.12,9.0.0,2.2.0,696
80094.28,79863.0,1223.5626142623057,78690.0,84623.0,79755.12574667353,80433.43425332647,commonmain_plain_native,2598.1041670002014,50,True,500,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet']",2026-04-10T12:29:56.567040,8e601992660f048cf6c94e585639253f7b7a0477,BSC_IOA,Darwin,arm64,25.0.0,Apple Inc.,Mac Studio,False,False,Apple M4 Max,14,14,4,36.0,23.31,994.66,716.76,2.79,CEST,lian,21.0.8,OpenJDK,v24.11.1,Python 3.12.12,9.0.0,2.2.0,696
52586.2,52700.5,590.5886029709544,50617.0,53502.0,52422.497191227514,52749.90280877248,commonmain_ioa_kind-none-jar,1355.9607499992126,50,True,500,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet']",2026-04-10T12:29:56.567040,8e601992660f048cf6c94e585639253f7b7a0477,BSC_IOA,Darwin,arm64,25.0.0,Apple Inc.,Mac Studio,False,False,Apple M4 Max,14,14,4,36.0,23.31,994.66,716.76,2.79,CEST,lian,21.0.8,OpenJDK,v24.11.1,Python 3.12.12,9.0.0,2.2.0,696
56055.54,56082.5,628.6316597765892,54637.0,57284.0,55881.29219387734,56229.78780612266,commonmain_ioa_kind-none-node,2497.8647500010993,50,True,500,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet']",2026-04-10T12:29:56.567040,8e601992660f048cf6c94e585639253f7b7a0477,BSC_IOA,Darwin,arm64,25.0.0,Apple Inc.,Mac Studio,False,False,Apple M4 Max,14,14,4,36.0,23.31,994.66,716.76,2.79,CEST,lian,21.0.8,OpenJDK,v24.11.1,Python 3.12.12,9.0.0,2.2.0,696
80141.34,79726.0,1792.0719237798464,78442.0,89794.0,79644.60300580593,80638.07699419407,commonmain_ioa_kind-none-native,19515.61108399983,50,True,500,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet']",2026-04-10T12:29:56.567040,8e601992660f048cf6c94e585639253f7b7a0477,BSC_IOA,Darwin,arm64,25.0.0,Apple Inc.,Mac Studio,False,False,Apple M4 Max,14,14,4,36.0,23.31,994.66,716.76,2.79,CEST,lian,21.0.8,OpenJDK,v24.11.1,Python 3.12.12,9.0.0,2.2.0,696
53003.88,52999.5,444.4978657463512,51930.0,53885.0,52880.67147760386,53127.08852239614,commonmain_ioa_kind-tryfinally-jar,1171.3810830005968,50,True,500,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet']",2026-04-10T12:29:56.567040,8e601992660f048cf6c94e585639253f7b7a0477,BSC_IOA,Darwin,arm64,25.0.0,Apple Inc.,Mac Studio,False,False,Apple M4 Max,14,14,4,36.0,23.31,994.66,716.76,2.79,CEST,lian,21.0.8,OpenJDK,v24.11.1,Python 3.12.12,9.0.0,2.2.0,696
61329.74,61313.0,741.7558267587874,59747.0,63148.0,61124.13577456638,61535.34422543362,commonmain_ioa_kind-tryfinally-node,1509.2281670004013,50,True,500,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet']",2026-04-10T12:29:56.567040,8e601992660f048cf6c94e585639253f7b7a0477,BSC_IOA,Darwin,arm64,25.0.0,Apple Inc.,Mac Studio,False,False,Apple M4 Max,14,14,4,36.0,23.31,994.66,716.76,2.79,CEST,lian,21.0.8,OpenJDK,v24.11.1,Python 3.12.12,9.0.0,2.2.0,696
78862.84,78331.5,1611.6162170381658,76909.0,83639.0,78416.12277575074,79309.55722424925,commonmain_ioa_kind-tryfinally-native,7030.905167001038,50,True,500,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet']",2026-04-10T12:29:56.567040,8e601992660f048cf6c94e585639253f7b7a0477,BSC_IOA,Darwin,arm64,25.0.0,Apple Inc.,Mac Studio,False,False,Apple M4 Max,14,14,4,36.0,23.31,994.66,716.76,2.79,CEST,lian,21.0.8,OpenJDK,v24.11.1,Python 3.12.12,9.0.0,2.2.0,696
142197.96,142176.0,543.0609376863855,140621.0,143271.0,142047.43118791885,142348.48881208114,commonmain_ioa_kind-timeclock-jar,1071.7482500003825,50,True,500,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet']",2026-04-10T12:29:56.567040,8e601992660f048cf6c94e585639253f7b7a0477,BSC_IOA,Darwin,arm64,25.0.0,Apple Inc.,Mac Studio,False,False,Apple M4 Max,14,14,4,36.0,23.31,994.66,716.76,2.79,CEST,lian,21.0.8,OpenJDK,v24.11.1,Python 3.12.12,9.0.0,2.2.0,696
