mean,median,stddev,min,max,ci95_lower,ci95_upper,executable,buildTimeMs,RepetitionCount,CleanBuild,StepCount,CILabel,Reference,IOA,JVM,JS,Native,IoaKinds,CollectionTimestamp,GitCommitHash,GitBranch,IsVirtualMachine,OS,OSArchitecture,TimeZone,Username,CPU,CPUCores,CPULogicalProcessors,TotalRAMGB,DiskSizeGB,SystemDriveFreeSpaceGB,RunningProcessCount,PythonVersion,JavaVersion,JavaDistribution,NodeVersion,GradleVersion,KotlinVersion
4034737.868,4033694.0,27269.075288593045,3966455.0,4100458.0,4031357.558406136,4038118.1775938636,commonmain-ioa-kind-timeclock-node,839.3343749999076,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:37,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,False,macOS 26.5,arm64,Europe/Vienna,lian,Apple M4 Max,14,14,36.0,926,674,649,3.12.12,21.0.8,OpenJDK,v24.11.1,Gradle 9.0.0,Kotlin:        2.2.0
326015.44,325650.5,2331.0031379034353,321786.0,338642.0,325726.48585736804,326304.39414263197,commonmain-ioa-kind-timeclock-mac-exe,5842.359959000078,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:37,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,False,macOS 26.5,arm64,Europe/Vienna,lian,Apple M4 Max,14,14,36.0,926,674,649,3.12.12,21.0.8,OpenJDK,v24.11.1,Gradle 9.0.0,Kotlin:        2.2.0
87830.008,87891.0,682.9598587109214,85543.0,89427.0,87745.34741880346,87914.66858119654,commonmain-ioa-kind-timemonotonicfunction-jar,904.5856669999921,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:37,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,False,macOS 26.5,arm64,Europe/Vienna,lian,Apple M4 Max,14,14,36.0,926,674,649,3.12.12,21.0.8,OpenJDK,v24.11.1,Gradle 9.0.0,Kotlin:        2.2.0
825575.712,826495.0,12071.58016681958,794017.0,852217.0,824079.303419249,827072.1205807511,commonmain-ioa-kind-timemonotonicfunction-node,1247.493416999987,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:37,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,False,macOS 26.5,arm64,Europe/Vienna,lian,Apple M4 Max,14,14,36.0,926,674,649,3.12.12,21.0.8,OpenJDK,v24.11.1,Gradle 9.0.0,Kotlin:        2.2.0
207522.74,207095.0,2091.1848566827553,204771.0,223776.0,207263.51403950164,207781.96596049835,commonmain-ioa-kind-timemonotonicfunction-mac-exe,5271.982708999985,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:37,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,False,macOS 26.5,arm64,Europe/Vienna,lian,Apple M4 Max,14,14,36.0,926,674,649,3.12.12,21.0.8,OpenJDK,v24.11.1,Gradle 9.0.0,Kotlin:        2.2.0
91500.572,91487.0,605.7943678182567,89737.0,93797.0,91425.4769521565,91575.6670478435,commonmain-ioa-kind-timemonotonicfunctioninwholemilliseconds-jar,1036.596875000214,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:37,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,False,macOS 26.5,arm64,Europe/Vienna,lian,Apple M4 Max,14,14,36.0,926,674,649,3.12.12,21.0.8,OpenJDK,v24.11.1,Gradle 9.0.0,Kotlin:        2.2.0
881738.576,878901.0,13879.95494927124,837736.0,931437.0,880017.9989587592,883459.1530412408,commonmain-ioa-kind-timemonotonicfunctioninwholemilliseconds-node,1192.9585419998148,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:37,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,False,macOS 26.5,arm64,Europe/Vienna,lian,Apple M4 Max,14,14,36.0,926,674,649,3.12.12,21.0.8,OpenJDK,v24.11.1,Gradle 9.0.0,Kotlin:        2.2.0
217411.096,216722.0,2896.988404194977,213340.0,234596.0,217051.98159687576,217770.21040312422,commonmain-ioa-kind-timemonotonicfunctioninwholemilliseconds-mac-exe,5505.796458999612,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:37,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,False,macOS 26.5,arm64,Europe/Vienna,lian,Apple M4 Max,14,14,36.0,926,674,649,3.12.12,21.0.8,OpenJDK,v24.11.1,Gradle 9.0.0,Kotlin:        2.2.0
88452.96,88456.5,663.1409791537028,86295.0,90998.0,88370.75619256635,88535.16380743367,commonmain-ioa-kind-timemonotonicfunctioninwholemicroseconds-jar,888.6575410001569,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:37,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,False,macOS 26.5,arm64,Europe/Vienna,lian,Apple M4 Max,14,14,36.0,926,674,649,3.12.12,21.0.8,OpenJDK,v24.11.1,Gradle 9.0.0,Kotlin:        2.2.0
918728.536,916461.0,15874.881221599853,868479.0,962856.0,916760.6653360002,920696.4066639998,commonmain-ioa-kind-timemonotonicfunctioninwholemicroseconds-node,1200.7112910000615,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:37,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,False,macOS 26.5,arm64,Europe/Vienna,lian,Apple M4 Max,14,14,36.0,926,674,649,3.12.12,21.0.8,OpenJDK,v24.11.1,Gradle 9.0.0,Kotlin:        2.2.0
