"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","CILabel","JS","Reference","Enabled","TestKIR","Native","InstrumentPropertyAccessors","Common","JVM","Methods","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6822.8632","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237174.96","234450","9476.419027787028","228529","284469","234548.23065888192","239801.68934111806","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","40171.3226","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184926.38","184356.5","4459.613010070699","176122","199565","183690.23834045161","186162.5216595484","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5508.5071","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6822.8632","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239335.6","237010","11294.802284814961","228598","293131","236204.84053520046","242466.35946479955","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","40171.3226","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190917","187629","8755.936052945184","181353","227011","188489.97835060005","193344.02164939995","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2850.9007","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3956.159","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240252.64","235891.5","15935.110584402699","229115","337483","235835.65269675004","244669.62730325","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20186.343","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191818.86","187872.5","14458.250856764898","178334","259595","187811.23732783343","195826.48267216654","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2850.9007","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3956.159","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"276767.5","268324.5","34417.92261174639","233626","352335","267227.3385825371","286307.6614174629","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20186.343","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202710.04","195355.5","18133.876150543914","181244","238034","197683.58597626333","207736.49402373668","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1946.3172","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3211.7295","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241763.58","239844.5","8287.476086313884","231217","281547","239466.40882849487","244060.7511715051","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18020.484","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"211450.94","200675","27605.966088695463","181817","283722","203798.9565975712","219102.9234024288","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1946.3172","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3211.7295","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246816.1","243597","13906.243132169824","229802","286857","242961.48606272225","250670.71393727776","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18020.484","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
