"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Native","InstrumentPropertyAccessors","Enabled","Methods","JVM","TestKIR","FlushEarly","Dedicated","CILabel","JS","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"193820.88","176177.5","51961.47321152314","171726","455227","179417.89445322205","208223.86554677796","commonmain-plain-jar","3559.2326","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7806.771","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229801.74","227371.5","7052.1298586501725","224342","259657","227846.989332815","231756.490667185","commonmain-plain-win-exe","94703.2964","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176178.94","175496","2825.0828588896","172253","189786","175395.8669832016","176962.01301679842","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2946.996","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5274.0755","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230497.72","227206","8378.199767764638","223269","264104","228175.4015069906","232820.0384930094","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24082.0292","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177038.9","176314.5","5412.239900900362","172747","210753","175538.70363814864","178539.09636185135","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2946.996","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5274.0755","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229111.16","226997","7698.752049308686","223143","273754","226977.17480594994","231245.14519405007","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24082.0292","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176101.02","175622","2457.415570331181","173518","187561","175419.85915612197","176782.180843878","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3138.7201","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
