"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","InstrumentPropertyAccessors","Native","Enabled","Methods","Dedicated","FlushEarly","JS","Common","CILabel","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4186.3206","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235936.76","231914.5","13439.351764858","224814","297578","232211.56174706848","239661.95825293154","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21275.3838","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183061.58","181727.5","5700.808149262163","175602","207454","181481.39660056995","184641.76339943003","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3463.2578","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4186.3206","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232319.78","229638.5","6538.103189607762","224974","250665","230507.51025622414","234132.04974377586","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21275.3838","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181693.28","180105.5","5562.355076910558","174797","208844","180151.47383425364","183235.08616574635","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4110.1961","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4479.2262","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232811.96","230762","6812.608053320201","225343","253737","230923.60138998902","234700.31861001096","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20428.8503","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183051.7","181254.5","7912.7957345513905","173408","221576","180858.38492335827","185245.01507664175","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4110.1961","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4479.2262","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231616.8","229438","6692.7801611672785","224789","255927","229761.65598711473","233471.94401288524","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20428.8503","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180645.46","179575","4446.092263632716","173673","193644","179413.06610015687","181877.85389984312","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","7482.985","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5642.1752","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249432.66","252137.5","16774.31516727346","224569","276659","244783.05705422055","254082.26294577945","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27169.2346","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188019.42","185278","9696.056044598752","177755","230156","185331.81038387897","190707.02961612106","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","7482.985","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5642.1752","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234013.8","231481.5","6808.055546669006","227557","261773","232126.7032804522","235900.89671954777","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27169.2346","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
