"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Enabled","FlushEarly","Methods","Common","CILabel","TestKIR","JVM","Reference","InstrumentPropertyAccessors","JS","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"138114.26","137646","3008.177418304978","131617","145584","137280.4357606137","138948.0842393863","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15601.3358","50","False","500","False","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","True","2026-09-02 03:31:44","3cf7efece80315d4933fd75cf4b89ab67ec1eccf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","82","0.1","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154214.84","154044.5","4345.841988167822","145698","162703","153010.2340587989","155419.4459412011","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2760.0428","50","False","500","False","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","True","2026-09-02 03:31:44","3cf7efece80315d4933fd75cf4b89ab67ec1eccf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","82","0.1","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3449.0108","50","False","500","False","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","True","2026-09-02 03:31:44","3cf7efece80315d4933fd75cf4b89ab67ec1eccf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","82","0.1","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138809.32","137583","8371.766815302248","133005","194338","136488.78463043983","141129.8553695602","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15601.3358","50","False","500","False","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","True","2026-09-02 03:31:44","3cf7efece80315d4933fd75cf4b89ab67ec1eccf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","82","0.1","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153082.62","153560.5","4117.342455209353","144879","162222","151941.35089794605","154223.88910205394","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1602.6769","50","False","500","False","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","True","2026-09-02 03:31:44","3cf7efece80315d4933fd75cf4b89ab67ec1eccf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","82","0.1","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2985.2427","50","False","500","False","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","True","2026-09-02 03:31:44","3cf7efece80315d4933fd75cf4b89ab67ec1eccf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","82","0.1","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139086.72","138712.5","2928.7108122928107","134115","148010","138274.92278000142","139898.51721999858","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14349.5991","50","False","500","False","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","True","2026-09-02 03:31:44","3cf7efece80315d4933fd75cf4b89ab67ec1eccf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","82","0.1","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153208.68","153077","4635.692258103068","141197","163801","151923.73166297012","154493.62833702986","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1602.6769","50","False","500","False","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","True","2026-09-02 03:31:44","3cf7efece80315d4933fd75cf4b89ab67ec1eccf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","82","0.1","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2985.2427","50","False","500","False","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","True","2026-09-02 03:31:44","3cf7efece80315d4933fd75cf4b89ab67ec1eccf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","82","0.1","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138718.32","138862","2616.572102767205","133232","144978","137993.04321608655","139443.59678391347","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14349.5991","50","False","500","False","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","True","2026-09-02 03:31:44","3cf7efece80315d4933fd75cf4b89ab67ec1eccf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","82","0.1","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
