"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","Common","Native","Methods","JS","JVM","Reference","Dedicated","FlushEarly","CILabel","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5718.1025","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225810.42","224121","7491.882690523887","218137","266972","223733.77606670518","227887.06393329485","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28798.7187","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189119.46","188851","2732.7496148661367","183754","196711","188361.98045268893","189876.93954731105","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4166.3985","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5718.1025","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225476.72","220699.5","11057.814150977174","216804","264948","222411.65029446746","228541.78970553254","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28798.7187","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204420.86","197290.5","15182.335088355216","190132","258215","200212.5314186728","208629.18858132718","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3611.7366","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4669.1066","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225704.2","223837.5","7438.477104397985","220692","263659","223642.3593399295","227766.04066007052","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23631.8979","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193559.56","193037.5","3824.349512035227","184768","206130","192499.50439835366","194619.61560164634","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3611.7366","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4669.1066","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226471.1","223701.5","7747.986854397623","220211","266665","224323.4676142468","228618.73238575322","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23631.8979","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201702.66","197336","11200.380559514893","190383","239379","198598.07290216285","204807.24709783716","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3849.9153","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4771.5623","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227520.78","224406","10660.33833802776","219698","284352","224565.88496880356","230475.67503119644","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","28168.9154","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198884.46","196107","10688.918125911947","190236","234587","195921.64305577098","201847.276944229","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3849.9153","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4771.5623","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254300.18","249973","20026.870146503123","228950","320575","248749.01481087835","259851.34518912164","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","28168.9154","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
