"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Dedicated","JS","Reference","JVM","Enabled","CILabel","FlushEarly","InstrumentPropertyAccessors","Methods","Common","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4344.0281","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236324.04","229169.5","16966.563417570716","221392","277101","231621.14855796963","241026.93144203039","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19808.7369","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221588.38","225975.5","14795.94069936696","191272","245287","217487.1544789979","225689.60552100211","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2385.0276","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4344.0281","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246795.42","244314.5","18728.61079879266","229434","349907","241604.1139423723","251986.72605762773","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19808.7369","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210050.42","205112.5","11678.328972738791","197257","242680","206813.35236105605","213287.48763894397","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2331.7277","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3776.5822","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250554.6","247314.5","13445.681852914558","228156","295887","246827.64713617787","254281.55286382214","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18534.767","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206800.6","197954","19546.23447425229","190426","277251","201382.66022218482","212218.5397778152","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2331.7277","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3776.5822","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244175.94","242129.5","19894.320101537753","223965","333708","238661.5158088499","249690.36419115012","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18534.767","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229141.98","230686","9537.945017814745","203032","246549","226498.19652453295","231785.76347546707","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2333.2672","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3335.9571","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"268432.3","270359.5","28075.28918291104","228643","391299","260650.2268729162","276214.3731270838","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18713.0471","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"263343.08","260887","18495.730627981615","226871","298442","258216.32503238218","268469.8349676179","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2333.2672","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3335.9571","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"257062.52","251590","26106.898814759323","223025","298932","249826.0568464344","264298.9831535656","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18713.0471","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
