"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JS","JVM","Enabled","Methods","FlushEarly","Common","Reference","InstrumentPropertyAccessors","Dedicated","CILabel","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","8981.541","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240566.82","234394.5","24655.087392136284","227783","400644","233732.7784415952","247400.8615584048","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22228.6078","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186155","185460","5363.545191420332","177013","207893","184668.30112298692","187641.69887701308","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5243.5928","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","8981.541","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236992.96","233678.5","9479.728774127474","227335","266796","234365.31324400203","239620.60675599796","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22228.6078","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191662.94","186924.5","12779.436941718006","178548","231994","188120.660803676","195205.219196324","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3620.4246","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4609.6033","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239717.88","236388.5","11416.28943192443","230271","288893","236553.4460160656","242882.3139839344","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24605.9834","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203091.76","203864","13385.806902500139","177671","240726","199381.4036256947","206802.11637430533","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3620.4246","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4609.6033","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"263659.34","263568.5","14739.446703555013","239042","307885","259573.7738157116","267744.90618428844","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24605.9834","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199348.22","201247.5","14701.3881883616","178166","238616","195273.20309790826","203423.23690209174","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3791.4754","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4421.2497","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239719.36","234009.5","14615.421805806107","228427","297270","235668.17176343538","243770.5482365646","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22497.8004","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185454.48","182740","7354.2446336958965","178376","211695","183415.9873896115","187492.97261038853","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3791.4754","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4421.2497","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237075.94","232959","13627.627320413547","228517","313569","233298.554425619","240853.32557438102","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22497.8004","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
