"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Common","JVM","Methods","Reference","FlushEarly","TestKIR","CILabel","Enabled","Dedicated","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4724.9199","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224511.38","222980.5","4038.1000578419125","220209","238027","223392.07576986816","225630.68423013185","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25387.8839","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205171.4","207016.5","14557.318016610569","186530","226224","201136.3173121097","209206.4826878903","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3903.2435","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4724.9199","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242807.58","241822.5","9987.811884921113","219949","267775","240039.099790887","245576.06020911297","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25387.8839","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199607.72","194186","12800.526076625421","186229","232563","196059.59519371748","203155.84480628252","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2837.267","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4414.0143","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225769.66","223640","6238.371571302295","220534","246827","224040.47162208136","227498.84837791865","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19601.0549","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196735.26","193189","12052.35441442959","187798","240396","193394.51779800295","200076.00220199706","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2837.267","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4414.0143","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223233.24","222202.5","3461.891564814042","218532","234676","222273.65261552468","224192.8273844753","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19601.0549","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195876.38","193276","10803.562501795603","186137","245378","192881.785256051","198870.97474394902","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2078.0292","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3322.6955","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223101.28","222692","2189.9670115864155","219713","230589","222494.2521144087","223708.3078855913","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19540.9016","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194741.02","192720.5","9136.163675957077","186243","236464","192208.6046305946","197273.43536940537","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2078.0292","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3322.6955","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224064.1","223037","3821.2390834195476","220035","240104","223004.90656517897","225123.29343482104","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19540.9016","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
