"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Dedicated","JVM","Methods","Reference","CILabel","TestKIR","Enabled","InstrumentPropertyAccessors","Native","JS","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6495.8644","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238601.98","228813","20775.26896261465","219374","293623","232843.36924273983","244360.5907572602","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24983.7484","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204146.52","199405","14056.882508100101","188233","245473","200250.15095802248","208042.8890419775","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4705.0738","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6495.8644","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240694.14","231528.5","19928.21897692428","220184","288681","235170.319519983","246217.96048001703","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24983.7484","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194712.62","191479.5","8697.247227856007","180970","211935","192301.86606295063","197123.37393704936","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2331.5792","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3736.3648","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225599.78","220479","18271.287277784973","215176","340423","220535.23755502934","230664.32244497066","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19657.7225","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214273.58","219220","17014.952174892456","181990","244017","209557.27587874295","218989.88412125703","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2331.5792","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3736.3648","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239723.08","237752","9056.318652989736","227363","261914","237212.7965418108","242233.36345818918","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19657.7225","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215974.38","215755.5","20895.720518697362","190007","313477","210182.38177479248","221766.37822520753","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2077.1188","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3666.6731","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226585.98","223697","9568.3500091474","217944","281338","223933.7686909161","229238.19130908392","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18177.5771","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215105.96","218072.5","18512.966504984928","185536","261241","209974.4274910227","220237.49250897727","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2077.1188","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3666.6731","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222784.9","220631","7928.697497710709","216826","268549","220587.17717948963","224982.62282051035","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18177.5771","50","False","500","True","False","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-09-15 02:41:20","3505df2368b7bc82e2cf3c0141c3d17ecfd7e7de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
