"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","FlushEarly","Methods","Dedicated","Enabled","Native","JS","Common","Reference","CILabel","TestKIR","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"178654.18","156870","39284.26039839074","138784","262873","167765.1385667327","189543.2214332673","commonmain-plain-jar","2089.9575","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6212.1134","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182131.44","178141","12169.532114427475","175055","235074","178758.2177966642","185504.6622033358","commonmain-plain-win-exe","100564.514","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142549.7","141865","3296.0417649548267","138238","155381","141636.08383463515","143463.31616536487","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2656.1727","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4311.1864","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181264.36","179324","5139.6451110709095","176368","201689","179839.72305891523","182688.99694108474","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22550.1693","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"140387.26","139972.5","2588.9769613750163","136297","150395","139669.6321990362","141104.88780096383","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2656.1727","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4311.1864","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181906.26","179203.5","7975.5081517079","175595","220544","179695.56192818735","184116.95807181267","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22550.1693","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"148213.12","141939.5","10023.29924835335","137785","164880","145434.8031955979","150991.4368044021","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2640.6731","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
