"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Common","Native","Dedicated","JVM","Methods","InstrumentPropertyAccessors","FlushEarly","CILabel","Enabled","Reference","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"61703.333333333336","66713","4588.692660587908","57704","66713","50311.41667921211","73095.24998745456","commonmain-plain-jar","2820.982","3","False","20","True","True","True","False","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-small","System.Boolean[]","True","System.Boolean[]","2026-06-27 02:56:06","2e2973fdaa4d87f435789890ae16805771500a47","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","0.57","130","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7874.305","3","False","20","True","True","True","False","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-small","System.Boolean[]","True","System.Boolean[]","2026-06-27 02:56:06","2e2973fdaa4d87f435789890ae16805771500a47","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","0.57","130","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"12997.333333333334","13452","395.051051553256","12738","13452","12016.57716021429","13978.089506452377","commonmain-plain-win-exe","92870.3809","3","False","20","True","True","True","False","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-small","System.Boolean[]","True","System.Boolean[]","2026-06-27 02:56:06","2e2973fdaa4d87f435789890ae16805771500a47","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","0.57","130","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"115541.33333333333","126426","11230.128776346839","103995","126426","87661.34648348388","143421.32018318278","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3297.5437","3","False","20","True","True","True","False","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-small","System.Boolean[]","True","System.Boolean[]","2026-06-27 02:56:06","2e2973fdaa4d87f435789890ae16805771500a47","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","0.57","130","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5099.964","3","False","20","True","True","True","False","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-small","System.Boolean[]","True","System.Boolean[]","2026-06-27 02:56:06","2e2973fdaa4d87f435789890ae16805771500a47","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","0.57","130","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"81360","88181","5997.059362721033","76915","88181","66471.66349912343","96248.33650087657","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","76031.7439","3","False","20","True","True","True","False","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-small","System.Boolean[]","True","System.Boolean[]","2026-06-27 02:56:06","2e2973fdaa4d87f435789890ae16805771500a47","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","0.57","130","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
