"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Dedicated","Methods","Common","CILabel","JVM","Enabled","Reference","TestKIR","FlushEarly","Native","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4663.9571","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237901.38","234217","16716.597933948946","218670","289594","233267.77545507398","242534.98454492603","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21205.4492","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187206.5","186539","3178.5016252367486","182036","195460","186325.46429913878","188087.53570086122","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2890.6891","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4663.9571","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"335491.44","221426","636950.1705663772","216295","4719907","158937.86032491794","512045.01967508206","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21205.4492","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258700.28","219326","71817.02582940359","210918","531751","238793.61606030067","278606.9439396993","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2936.1292","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4163.5354","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247360","245838","12303.26663939297","227524","280912","243949.7084775873","250770.2915224127","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28574.4483","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218410.44","217069.5","5697.333361766893","209246","237274","216831.219762524","219989.660237476","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2936.1292","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4163.5354","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248407.6","248410","17093.48057486436","225855","332323","243669.5289168017","253145.6710831983","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28574.4483","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218861.28","216929.5","5467.13522355658","209814","232881","217345.86743102566","220376.69256897434","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2297.9958","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3509.8992","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246848.14","243265.5","12805.37847938936","231085","287766","243298.67017629292","250397.6098237071","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18511.5748","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220939.66","220601","7603.821108723521","203114","249069","218831.98832018813","223047.33167981188","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2297.9958","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3509.8992","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249307.66","244799","28937.216833443294","230173","441120","241286.67271737545","257328.64728262456","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18511.5748","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
