"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","JVM","TestKIR","CILabel","Common","InstrumentPropertyAccessors","Methods","Native","Enabled","FlushEarly","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3108.6003","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113093","113140.5","2294.822673332477","108640","119347","112456.90760781786","113729.09239218214","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13262.805","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109702.24","109149.5","3345.1043518697534","103009","117286","108775.02437937439","110629.45562062562","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1723.4105","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3108.6003","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114171.88","113841","3262.298842903293","109688","128615","113267.61689544302","115076.14310455699","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13262.805","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110140.92","109838","4150.762260164772","102351","119674","108990.38740062776","111291.45259937223","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1722.4136","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2637.5225","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114043.18","113572","3118.4876220006754","110271","126622","113178.77933213131","114907.58066786868","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14035.0205","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109025.76","108498","3372.0213858958214","101709","117322","108091.08335819698","109960.43664180301","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1722.4136","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2637.5225","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114070.08","113314.5","3697.3711004839474","109478","130692","113045.22101833558","115094.93898166443","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14035.0205","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110276.94","110590.5","3380.951287518267","102835","118076","109339.7881157519","111214.0918842481","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1888.093","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3757.982","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113650.54","112819","2640.637301014701","109347","119169","112918.59268345695","114382.48731654303","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14682.6068","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110955.64","109873.5","4727.876391560756","101962","126433","109645.13952482291","112266.14047517709","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1888.093","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3757.982","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113482.56","113285","2476.760220571237","109194","121595","112796.0370926431","114169.08290735689","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14682.6068","50","False","500","True","False","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-14 03:58:38","1b3eb54580db7a5b392f7846bc14038d3bd5819c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.29","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
