"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","InstrumentPropertyAccessors","TestKIR","Methods","CILabel","Enabled","Native","Dedicated","Common","JVM","JS","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4880.6238","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227030.28","226430","4361.500083827178","221557","244147","225821.3338561154","228239.2261438846","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26758.88","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188641.12","187688","5774.582330121109","184067","225005","187040.48744093374","190241.75255906626","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4623.9105","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4880.6238","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228903.16","227493","7157.1520711660105","223572","272303","226919.29866070612","230887.0213392939","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26758.88","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189141.44","187833.5","5812.990221276229","183703","223543","187530.16131666128","190752.71868333872","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4988.2647","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4263.1429","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243286.3","241917","16037.37249237492","220651","298514","238840.967142025","247731.63285797497","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23396.8924","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188637.16","188291.5","2609.611937371814","184189","197549","187913.81247550505","189360.50752449495","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4988.2647","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4263.1429","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228969.58","227994","6178.385972741043","222034","260916","227257.01878169968","230682.1412183003","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23396.8924","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189625.98","188918","6532.892219736515","182804","222072","187815.1546633801","191436.80533661993","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4515.6726","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4915.3391","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228239.58","226467.5","7190.8631882013005","221080","267204","226246.37441579893","230232.78558420105","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22686.9761","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188299.82","187835","3105.467000866277","183804","196308","187439.0284641751","189160.61153582492","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4515.6726","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4915.3391","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229025.72","226764","13177.643670076613","220073","315300","225373.0635299249","232678.3764700751","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22686.9761","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
