"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","Native","Methods","Dedicated","Common","FlushEarly","Enabled","JVM","InstrumentPropertyAccessors","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157098.38","155928","6613.415564145476","147046","182117","155265.23473105294","158931.52526894707","commonmain-plain-jar","1912.1707","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6174.857","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134642.82","133701","4376.688095035387","126817","147839","133429.66395419394","135855.97604580608","commonmain-plain-linux-exe","16823.8874","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156091.56","156010","5261.014045033601","144548","170092","154633.28130679292","157549.83869320707","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2313.963","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3653.49","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132486.92","132758","2898.141190628284","125832","141253","131683.5962468181","133290.24375318192","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36042.1566","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154173.3","155076.5","5422.378472212943","141345","165005","152670.2933695582","155676.30663044177","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2313.963","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3653.49","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136344.22","134337","14288.009904540413","126393","231628","132383.78571228086","140304.65428771914","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36042.1566","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154219.34","152973","6667.115156849616","144334","168884","152371.30996336287","156067.37003663712","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2491.3812","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
