"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","InstrumentPropertyAccessors","JVM","TestKIR","FlushEarly","Enabled","Common","Methods","Native","CILabel","JS","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"229114.1","210378.5","45917.62538980838","197454","380152","216386.3835986661","241841.8164013339","commonmain-plain-jar","3788.5944","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7738.0848","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"256263.12","257440.5","10893.49668312733","236549","280022","253243.59677281478","259282.6432271852","commonmain-plain-win-exe","90756.6398","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208542.92","205979.5","9513.618571290315","198398","238436","205905.8794714904","211179.96052850963","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3893.9647","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7059.2811","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"262489.3","258855","14399.433078763757","241162","306387","258497.98078410758","266480.6192158924","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","35550.701","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204096.04","203796.5","2433.3563782712695","199917","212042","203421.5480239213","204770.53197607872","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3893.9647","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7059.2811","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259661.94","259059.5","13759.745327807577","235161","285257","255847.93318235248","263475.94681764755","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","35550.701","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206349.34","204922.5","6417.216195389349","199904","232465","204570.57842146483","208128.10157853516","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2647.7124","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
