"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JVM","TestKIR","JS","Enabled","CILabel","Methods","Native","FlushEarly","Dedicated","Reference","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6812.707","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240722.3","236519","20521.966020757925","216363","303681","235033.90123606933","246410.69876393065","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","31323.5503","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186980.16","185612.5","5070.544097359306","180520","206049","185574.67688270513","188385.64311729488","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5268.5505","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6812.707","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242951.92","225975.5","33828.266918175796","216393","388373","233575.2028020168","252328.63719798322","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","31323.5503","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"327255.42","224277","325041.187542666","207040","1877681","237158.59947247177","417352.2405275282","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4486.7508","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","7008.6207","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255727","250871","22125.098404024222","227375","321752","249594.23561056517","261859.76438943483","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27570.0611","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218490.72","216920.5","7643.068517878116","207822","244167","216372.1694933985","220609.2705066015","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4486.7508","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","7008.6207","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248050.62","244854","16200.179460948535","224147","284943","243560.1593527159","252541.08064728408","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27570.0611","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218638.98","217767","7739.629043712995","205687","249017","216493.6642811743","220784.2957188257","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4189.8504","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3759.4418","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247361.42","247321","13099.155578159087","226620","282126","243730.51931904352","250992.3206809565","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27679.0432","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218324.08","217357.5","7447.024643056157","206684","244374","216259.8700830908","220388.28991690918","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4189.8504","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3759.4418","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251179.44","248979.5","16745.849354952876","224253","308890","246537.7273748387","255821.1526251613","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27679.0432","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
