"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","JVM","Methods","Native","Dedicated","InstrumentPropertyAccessors","JS","TestKIR","Enabled","Common","CILabel","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5097.1366","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223345.52","221043","5517.682381846455","217496","238587","221816.09647357423","224874.94352642575","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21026.9127","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189079.02","188309","4217.866244044856","182529","204221","187909.88712526564","190248.15287473434","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2992.8491","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5097.1366","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229188.02","224959","12408.64490536122","218166","287026","225748.5191124966","232627.52088750337","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21026.9127","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188814.72","188537.5","5159.012170276517","181124","206480","187384.71478398802","190244.72521601198","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4035.9004","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","8202.5869","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247879.16","243622","14914.626912298583","217818","286884","243745.03633920694","252013.28366079307","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28878.5316","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222501.96","220621.5","12065.89457082589","200345","256557","219157.46465813174","225846.45534186825","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4035.9004","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","8202.5869","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229048.78","225108.5","12104.628573805805","217479","276121","225693.54814027325","232404.01185972674","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28878.5316","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201484.7","197030","12311.03160061855","188686","235847","198072.2561401459","204897.1438598541","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","5185.8536","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4485.2699","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"257919.52","254493.5","16794.026879403358","233094","303076","253264.4532463767","262574.58675362327","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","30238.7599","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209304.52","214282","19786.69553238813","182567","265290","203819.9278174157","214789.11218258427","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","5185.8536","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4485.2699","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250472.76","251239","13420.355993879188","216598","275425","246752.8271061499","254192.69289385012","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","30238.7599","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
