"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JVM","Reference","Dedicated","Common","CILabel","Native","JS","TestKIR","Enabled","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4883.1542","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220038.9","217787","6790.017544535659","215565","256523","218156.8031595542","221920.9968404458","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20852.333","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186540.48","186515.5","1846.46108553854","182767","190724","186028.6670993257","187052.2929006743","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3061.3872","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4883.1542","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225654.96","218377.5","35215.6488979614","215496","454916","215893.68013726381","235416.23986273617","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20852.333","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187133.08","186099","3514.479819494295","183167","201527","186158.91589501858","188107.2441049814","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3645.6661","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4667.5778","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219654.48","218224","4262.127035523317","215603","237495","218473.07865979397","220835.88134020605","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21556.7236","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185976.96","186071","2354.5880523621386","181108","192599","185324.30148993936","186629.61851006062","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3645.6661","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4667.5778","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220722.54","218920","6665.6933414954765","216572","252421","218874.90407047208","222570.17592952793","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21556.7236","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186589.74","186139","2647.8814389420604","182617","195876","185855.78471086847","187323.69528913152","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3224.9954","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4269.7771","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224314.52","218647.5","16671.63944075234","216070","306163","219693.37731359518","228935.6626864048","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23282.4247","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186904.8","186726.5","3268.307494338778","181999","206334","185998.87138223808","187810.7286177619","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3224.9954","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4269.7771","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225201.92","218368.5","29582.58615927655","215677","418597","217002.0454669222","233401.79453307783","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23282.4247","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
