"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","CILabel","Enabled","Common","Dedicated","TestKIR","FlushEarly","InstrumentPropertyAccessors","JVM","Methods","Native","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6752.2006","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218781.98","218231","2785.6892562245516","214280","229973","218009.8263327649","219554.13366723512","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","47947.4372","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185996.66","185451.5","3518.436251738976","181413","202825","185021.39922795133","186971.92077204867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4509.0795","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6752.2006","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222269.6","218731","9656.398521610594","215903","259541","219592.98288842352","224946.2171115765","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","47947.4372","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209690.08","207554","10937.652204589955","192668","250113","206658.31748670278","212721.8425132972","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3917.9151","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4528.554","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230903.5","228532.5","10511.26777970834","219750","286218","227989.9252194474","233817.0747805526","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21908.0876","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206578.92","208322.5","9300.220264760468","190564","223093","204001.03046422967","209156.80953577036","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3917.9151","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4528.554","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230145.9","229234.5","8159.6517538984435","220536","257388","227884.1599257775","232407.6400742225","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21908.0876","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203964.02","203366.5","9332.953668762388","190641","248704","201377.05722754874","206550.98277245124","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2180.7527","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3440.5498","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226340.32","224416","6988.365723640037","217352","252653","224403.2438493018","228277.39615069822","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19355.1929","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195921.68","192301.5","10089.552372587383","185490","226275","193124.998766497","198718.36123350298","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2180.7527","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3440.5498","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220726.28","219338","4570.330596000107","216007","238640","219459.44899137516","221993.11100862484","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19355.1929","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
