"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Enabled","Common","Reference","JS","Dedicated","InstrumentPropertyAccessors","Native","CILabel","JVM","Methods","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4881.599","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234448.14","230819.5","10639.67386336515","225452","288923","231498.9728689477","237397.30713105234","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24154.8038","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194035.22","191174.5","10296.611769422216","183534","247175","191181.14482988176","196889.29517011825","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3166.719","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4881.599","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231357.86","230005.5","5938.978201849272","223809","259684","229711.65923014007","233004.0607698599","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24154.8038","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207010.06","216960","15540.965627301915","185158","226766","202702.32410494913","211317.79589505086","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3580.9466","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5008.9698","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237883.42","231704.5","12769.445805004176","225297","277621","234343.9102054807","241422.92979451932","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23290.9319","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193349.44","190565","7837.539240952443","182559","217517","191176.98495912348","195521.89504087652","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3580.9466","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5008.9698","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230388.96","229739","4722.396459944671","224176","256504","229079.97848437092","231697.94151562906","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23290.9319","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192268.76","189656.5","7926.647163041064","183268","220236","190071.6055032647","194465.91449673532","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3149.0822","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3888.8046","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231268.84","230595","3841.267049465075","227029","250395","230204.09509622212","232333.58490377787","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19506.118","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191636.26","189908.5","6341.0973871939195","182313","210658","189878.59747864155","193393.92252135847","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3149.0822","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3888.8046","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235759.16","233131.5","10811.829451870139","227791","298981","232762.27377439968","238756.04622560032","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19506.118","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","False","System.Boolean[]","True","ci-windows-large","True","System.String[]","System.Boolean[]","2026-06-26 02:37:58","e7c0632927e5b449565219c16140efb1427040f9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.1","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
