"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","TestKIR","Methods","JS","Native","Reference","Common","Enabled","FlushEarly","CILabel","Dedicated","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4702.3555","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134359.16","134613","4013.918002274037","124825","147662","133246.5586936944","135471.76130630562","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","23427.6293","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154183.08","153837.5","5258.653497399719","144322","168343","152725.45561721467","155640.7043827853","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2415.0396","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4702.3555","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134309.72","134351.5","3782.537136011506","125437","142765","133261.25419768624","135358.18580231376","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","23427.6293","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153076.26","151996.5","4558.971226637224","145778","165904","151812.5776479209","154339.94235207912","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2771.1693","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3232.2681","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134611.44","134517.5","4027.226407484791","125074","143207","133495.14979197443","135727.73020802558","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18464.0496","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153287.94","153717","5613.053948518543","143683","164536","151732.08082401595","154843.79917598405","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2771.1693","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3232.2681","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133428.78","133415","3445.5098511375227","126877","143780","132473.7333948893","134383.8266051107","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18464.0496","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154800.14","154727","5556.52855954698","145405","170645","153259.94886246955","156340.33113753048","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2041.4991","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2748.6229","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135024.5","132884","13780.763767302742","125013","227420","131204.66716816247","138844.33283183753","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15128.3349","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153128.16","153173.5","5507.563505743345","141844","165579","151601.54128293114","154654.77871706887","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2041.4991","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2748.6229","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134210.88","133908.5","3433.5372053333226","126436","142915","133259.15204299177","135162.60795700824","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15128.3349","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","False","True","2026-05-29 03:55:02","4be5063be010f4cd964d8aef48967db7f4f206c7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.84","145","86","0.1","153","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
