"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Enabled","Reference","JS","FlushEarly","JVM","TestKIR","Common","Methods","InstrumentPropertyAccessors","CILabel","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3996.814","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144386.94","136935","46827.109718932894","132338","468164","131407.12740435541","157366.7525956446","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15300.5362","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153443.36","152972.5","4037.932248979289","146931","167973","152324.10228411175","154562.61771588822","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2511.9405","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3996.814","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137275.76","136671","3013.472764849518","133617","150204","136440.46796543716","138111.05203456286","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15300.5362","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154886.02","154621.5","4456.242397549115","146726","166488","153650.81262657614","156121.22737342384","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1712.3356","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2727.6987","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138185.2","137376","4125.376455301889","133128","157917","137041.70398673543","139328.6960132646","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14854.0319","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154395.02","154163","5722.272709227996","143081","165993","152808.8869280944","155981.15307190557","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1712.3356","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2727.6987","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138983.6","137726.5","4210.14415381687","132568","154573","137816.60757947277","140150.59242052725","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14854.0319","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155878.62","155509","4313.918266707975","147255","164556","154682.8628629295","157074.3771370705","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1369.1872","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2478.8479","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137298.3","137235.5","2794.406440935688","131278","144960","136523.7300524394","138072.86994756057","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14683.0971","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155286.74","155001","4104.426071937464","146993","167456","154149.0511367284","156424.42886327158","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1369.1872","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2478.8479","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136979.18","137067.5","2348.3297033232375","132084","141371","136328.25621578877","137630.1037842112","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14683.0971","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
