"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Enabled","FlushEarly","Reference","JVM","Common","CILabel","Native","Methods","TestKIR","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3914.3281","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133328.74","133479.5","3732.186839440088","123862","140755","132294.23058785326","134363.24941214672","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17210.8805","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151844.62","150776.5","5740.861227042791","139742","169743","150253.3344538308","153435.9055461692","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2090.6937","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3914.3281","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133334.78","132292","9568.596846125009","122604","193019","130682.5002711966","135987.0597288034","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17210.8805","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151071.46","152349.5","6147.80819814871","138442","165525","149367.37450839268","152775.5454916073","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2455.9455","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3413.5782","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131990.7","131687","3860.7062177793327","124816","147784","130920.56683366977","133060.83316633027","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14210.0868","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150684.34","151899.5","5988.705023762037","136946","163514","149024.3556583314","152344.3243416686","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2455.9455","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3413.5782","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132167.78","131818.5","4480.84472853328","123361","144067","130925.75320834796","133409.80679165202","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14210.0868","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150847.9","150757","4690.561605337829","140559","159043","149547.7426558666","152148.05734413338","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1676.9863","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2946.5566","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131389.24","130672.5","4579.91107462018","123252","147171","130119.75341818664","132658.72658181336","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13853.7588","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152367.96","152292.5","5163.165841668407","140529","165305","150936.80344501848","153799.1165549815","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1676.9863","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2946.5566","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131925.2","131890.5","3656.939419564857","124053","142035","130911.54810851063","132938.85189148938","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13853.7588","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
