"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","TestKIR","JVM","CILabel","FlushEarly","Reference","Enabled","Methods","JS","InstrumentPropertyAccessors","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"64012","87373","20236.014454432472","51891","87373","13773.945911855495","114250.0540881445","commonmain-plain-jar","2109.6033","3","False","20","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","2026-07-15 01:17:45","886eb81aa6cf4fe7756ac6a2bd4e2f29f9b0b240","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","84","0.07","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6315.1085","3","False","20","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","2026-07-15 01:17:45","886eb81aa6cf4fe7756ac6a2bd4e2f29f9b0b240","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","84","0.07","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"8822","9918","951.9669111896694","8201","9918","6458.64108452962","11185.35891547038","commonmain-plain-linux-exe","17490.5813","3","False","20","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","2026-07-15 01:17:45","886eb81aa6cf4fe7756ac6a2bd4e2f29f9b0b240","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","84","0.07","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"107151.66666666667","117330","9918.140669164424","97516","117330","82528.82957029526","131774.50376303808","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2433.7026","3","False","20","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","2026-07-15 01:17:45","886eb81aa6cf4fe7756ac6a2bd4e2f29f9b0b240","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","84","0.07","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4680.7585","3","False","20","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","2026-07-15 01:17:45","886eb81aa6cf4fe7756ac6a2bd4e2f29f9b0b240","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","84","0.07","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"46214","46470","283.6917341058777","45909","46470","45509.70515407253","46918.29484592747","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20316.1261","3","False","20","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","2026-07-15 01:17:45","886eb81aa6cf4fe7756ac6a2bd4e2f29f9b0b240","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","84","0.07","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
